,ID,Probability,Mean,Sigma,Mean_Error,Sigma_Error,Determinant
70,1616,0.26437847111710994,4.928210586001924,0.21840150241723028,0.006925544469473248,0.005030444057466283,1.2115475198360097e-09
71,1617,0.21422154428299578,4.562848988233502,0.2897322475476064,0.009379244605253119,0.006385744051900351,3.5866794566803103e-09
72,1625,0.11144718137914612,4.615930090574621,0.5452096186947196,0.01724342088277633,0.012160070398364167,4.396741146783356e-08
73,1627,0.18396070403208248,4.169440698711525,0.3328815479583016,0.010594092745600041,0.007525745190194067,6.357248676707497e-09
74,1635,0.19109682052276775,5.448169010782668,0.32191855724639024,0.010055837599381112,0.007418862346141198,5.566144850120584e-09
75,1636,0.1428602870257088,5.074304797440725,0.43078825097702705,0.013488305961840629,0.009278484852902379,1.5664200208580085e-08
76,1640,0.6007396531122772,4.769929155689012,0.09972178576102109,0.0031972108049659305,0.0022841163261069397,5.3335196675711104e-11
77,1646,0.17370451336853449,6.2441200076609675,0.35375352435841917,0.011463923753949216,0.007963118548019676,8.333977427873854e-09
78,1648,0.12603610613275107,4.564454618369059,0.48178118636987355,0.01576524827346002,0.01082524042712788,2.9128590492504972e-08
79,1657,0.27115335901917753,4.20663911091543,0.22031432907633286,0.007059996590928059,0.004870962945029812,1.1826378516334519e-09
80,16588,0.1330564172567108,6.629784016124645,0.462549184907573,0.014595772183619436,0.010376177189498959,2.2938184229686274e-08
81,1667,0.13143560595998588,4.883102939438001,0.46374163992484185,0.014525449588318248,0.010474128566784062,2.3146792503579194e-08
82,1675,0.08529735896321555,4.948548615791594,0.7235020374204313,0.02270206631358839,0.016320379818514176,1.37288317114063e-07
83,1689,0.15804919573369886,4.816345351219578,0.3803660922999963,0.012035889717875338,0.008615137294700348,1.0752862382229983e-08
84,1691,0.11617076583393018,5.589825230343159,0.5243115603131573,0.016750449198382002,0.011606589214520803,3.7800140353980805e-08
85,1720,0.1781845952155193,5.777122054084897,0.35572872661345467,0.011408721941089975,0.007938734142018629,8.203856238268378e-09
86,1742,0.08235301986819152,4.722164239357986,0.7555134377009565,0.023555336944835623,0.01657388994894667,1.5233806003789975e-07
87,1753,0.16654441981121065,4.270135181451135,0.35087489129668015,0.011369200323076933,0.007593094170643486,7.446159889074153e-09
88,17641,0.1514372827183353,5.450838392885248,0.38259535618430474,0.012112924421914664,0.008678778091676853,1.1051554034473125e-08
89,1766,0.01468703933242722,4.212805763213589,0.6204578534312558,0.013727970466755187,0.010158445284580224,1.939575502455038e-08
90,1768,0.036268773745031346,4.265133549158425,0.2513200432519475,0.005720461785942037,0.004044344713473034,5.341872918841467e-10
91,1775,0.1474246766766752,4.578314387502072,0.4156557678954955,0.013089464773096733,0.009410007559647071,1.5163942442915785e-08
92,1785,0.12303290810660594,4.220328170464928,0.4788108236781046,0.015197818573017916,0.010877216847661748,2.733003749425403e-08
93,1791,0.16376680571549587,4.213849738989539,0.3675335957465059,0.011467744586914038,0.008596166803229964,9.708835143580907e-09
94,1796,0.14890128606388534,5.606840078268196,0.40811827909935855,0.01304366590551544,0.009325530551937643,1.4785607606494549e-08
95,1799,0.22119815750067878,4.404493613756199,0.2672051657569368,0.008392745129074413,0.006099003624322576,2.6191557972836685e-09
96,1805,0.16148025846941097,5.22078787966891,0.3603649489812455,0.011493322757144053,0.008181864375941404,8.84240883623474e-09
97,1806,0.11726329472055581,6.677631771004206,0.556506895082833,0.01789580901297923,0.012078334777852097,4.672434139772103e-08
98,1810,0.09674186348567988,5.988657424213994,0.6253046878618196,0.020023495879404062,0.013754429620874186,7.58565365087575e-08
99,1815,0.1522354105616021,6.593835005839791,0.39406891845502723,0.012643152961787876,0.008892552740334177,1.2641629888476116e-08
100,1819,0.5881060917222546,4.3299003521342945,0.10569458602952116,0.003271072530902551,0.00237333859777931,6.027512995125106e-11
101,1821,0.1276848870973714,6.3127270264737465,0.4908699779778222,0.014923221543040887,0.010711453801495099,2.555388612070321e-08
102,1823,0.15589479740859732,6.022546414236492,0.38802976715609394,0.012423395842977776,0.008696779230133901,1.1673847323588726e-08
103,1827,0.18262333678381798,5.723703466935674,0.33966745467879805,0.010777204004820923,0.0075810763249971255,6.672323291136933e-09
104,1829,inf,5.1321108108845195,0.040219630118056016,inf,inf,inf
105,1831,0.12404195342225877,5.7569035724874205,0.48889065559688244,0.015497946394881272,0.010956803622689151,2.8760196280587645e-08
106,1832,0.05855598654625459,4.926909872857549,1.0515819395797201,0.03278406427148902,0.024087506195865558,6.233885719837127e-07
