,ID,Probability,Mean,Sigma,Mean_Error,Sigma_Error,Determinant
0,10518,8.7329328039997771e-05,6.4666375385585271,0.43312281446703083,0.013783256571656509,0.0096745292796756727,1.774875266880483e-08
1,1174,0.00012605656048750253,5.2576637458303113,0.23800491903941018,0.0075631412873906848,0.0053412977286454114,1.6320204761212208e-09
2,12073,6.9852692491692103e-05,4.5223198225557901,0.5280287042690075,0.016496969097161834,0.011818163920064958,3.799466926398478e-08
3,12840,4.7780734048865061e-05,4.7059118023353239,0.61149905857969622,0.019385805255724826,0.013399609543629183,6.7481649042444641e-08
4,13362,8.2477506808849909e-05,2.0803653900880859,0.38775599412231798,0.0119039274986213,0.0087764138140421378,1.0914855800019234e-08
5,15003,9.840645969375945e-05,6.7480900374340873,0.46145143696771562,0.014841727093815725,0.010386113637837223,2.3716250292113982e-08
6,15220,8.8898262402817182e-05,5.8115905633162477,0.36623144144268194,0.01164506560970209,0.0083119719787101941,9.3565112650920984e-09
7,16588,7.2707027681632208e-05,6.6290051995444479,0.46253119667390485,0.014496991477175177,0.010405759995508718,2.2756970826398924e-08
8,17641,7.8264986215060498e-05,5.4466718049194123,0.38655423965407493,0.012232910175163475,0.0085628938247774983,1.0969435489994569e-08
9,18539,8.9577354702010236e-05,6.8151743377740326,0.52261989270337017,0.016753674931641538,0.011586099093964977,3.7679261481899129e-08
10,18651,5.6572165390181456e-05,6.6367029838388882,0.50458348605908021,0.016377409845532577,0.011167894519384707,3.344143779197055e-08
11,19197,5.2900675330120091e-05,4.914884807675298,0.48357537895866909,0.015295601703304729,0.011085535891194142,2.8734366706212206e-08
12,19591,6.0759873428561057e-05,6.1793457607839546,0.46361374451367993,0.015092360460611928,0.010284464341047865,2.4092380879178483e-08
13,19898,8.2893696484205657e-05,4.8721893726147236,0.39067341792446586,0.012561857916022892,0.0089038175662782878,1.25104717017564e-08
14,20041,8.2625053613579982e-05,6.1659028011418711,0.39733047477089845,0.012508660626668618,0.0090571175003724153,1.2835133361750073e-08
15,2008,0.00053464799406385637,2.746049330813046,0.46441249205348017,0.01624323131879515,0.011351696414551046,3.3999385925248558e-08
16,2010,4.8409179718039987e-05,5.2828008530402304,0.69336254552554222,0.021859014479505372,0.015731215956357233,1.1824572716364777e-07
17,20620,5.6340861843246786e-05,5.4170040507191324,0.57485026769023717,0.018029285095365631,0.012541074981002024,5.1119889409508612e-08
18,20972,0.00010927674742201335,6.1312377285844573,0.34426292793569985,0.010754685206014884,0.0074752315660609279,6.4592723038174585e-09
19,2105,8.3179647675955752e-05,2.2997154685824341,0.38142594624123827,0.012150946346971265,0.0084511261097907943,1.0546095681843243e-08
20,2128,inf,2.228737707153527,3.3876336597307846e-05,inf,inf,inf
21,21872,8.542928139905835e-05,5.1974076905942024,0.38392565942774942,0.012264327512683462,0.0085766401345944848,1.1062937767140731e-08
22,22032,0.00054601496681703707,1.9138047299491372,0.056899142640253773,0.0018196859611165537,0.0012699238830640755,5.340215050153026e-12
23,22,6.2282732584886455e-05,6.0246952396210309,0.52660065142758505,0.016603746055219439,0.011947428544668515,3.9307304366577192e-08
24,22998,7.1535854081899278e-05,6.1644861240137727,0.39629396543192497,0.012517603341795162,0.0087232315862561128,1.1905894433474428e-08
25,23005,9.8624679229825999e-05,6.763693661841736,0.46099348476268398,0.014614997697629929,0.010590833743537371,2.395645855659426e-08
26,23975,8.2315942526037795e-05,5.7505253204234226,0.35635870728993668,0.011615393713177553,0.0079331769742549164,8.490319903945542e-09
27,24008,0.0001209791639376939,4.6527208164599534,0.28520769537449364,0.0090334298128046109,0.0065871179610889358,3.5343293962301094e-09
28,24013,0.00017590565395513431,2.0417679182455415,0.18498828763222677,0.0059193168880753849,0.0041105224006699175,5.9123774315787343e-10
29,24017,4.3725699863933434e-05,5.2831162581495397,0.63139904840643146,0.020144308264815787,0.014307298896519556,8.3045161926959666e-08
30,24248,8.6980591417326446e-05,5.5276813013585722,0.38494883472429225,0.01179234932544972,0.0087942052356624768,1.0754292352457985e-08
31,24346,0.00010927574667200221,6.6450414886601514,0.35046422318366494,0.010877675848504803,0.0077172095840587797,7.0473830488501683e-09
32,24453,0.00010877911563373162,4.3546389130927929,0.25226708735646775,0.0080956492960177033,0.005687648771224736,2.1199073256432582e-09
33,24576,0.00013887822900830306,5.0844615829238577,0.23844700093256815,0.0074449683217564363,0.0053833264871539794,1.6058599985209873e-09
34,24631,8.5564776125946493e-05,5.1128149286217477,0.33896063761661677,0.011091862919608462,0.0077451717027522656,7.379543947271682e-09
35,24705,7.5837886903687914e-05,5.2722116369323881,0.39809768385746885,0.012969132928942287,0.0090207136864860465,1.3681266802872083e-08
36,24763,6.9912457396719096e-05,5.8631636682060089,0.53900751503906708,0.017112567905846917,0.01175563430325976,4.0473048406435098e-08
37,24824,5.6964305991290661e-05,5.8637548805377291,0.6723347461991005,0.020827613306966249,0.014969778834892854,9.6945688036803416e-08
38,24930,6.6920534983924555e-05,5.1798170868209503,0.4732667598969435,0.015648159799131069,0.010526874424009259,2.7137373254172455e-08
39,2612,inf,2.7599185754953917,1.2819234511136944e-05,inf,inf,inf
40,3000,5.5413445415009461e-05,6.0904766485083561,0.51791441290382034,0.01617471884381308,0.012053900901180475,3.7957652726711616e-08
41,3898,8.5172719538808276e-08,5.4482894163057818,0.99439952142695698,0.024492527319618925,0.017270732412144472,1.7884116724813971e-07
42,42,6.5355026557666846e-05,4.0711639956896928,0.45738432135811058,0.014720057164956534,0.010108314903325638,2.2141419425382763e-08
43,4641,0.00040829356566547009,2.5035960391162724,0.080718992146715532,0.0025243277283267776,0.001793210563431125,2.0487724313828137e-11
44,4753,0.00010130782762792691,6.2052716472324043,0.31850006256032592,0.010138956950007945,0.0071552215943849517,5.2550445583340224e-09
45,5505,9.9731387424239199e-05,4.6149761144859403,0.31546219182387841,0.0099529027528223405,0.0069513689868171873,4.7866268579778148e-09
46,5958,6.8466503705811915e-05,5.8605919988242752,0.49467072314549992,0.015571620066953172,0.011269724601230021,3.079794734194265e-08
47,67,0.00071098366385925879,7.48652266043546,0.28409519251000281,0.010343849844628732,0.007188802450567096,5.511811124133088e-09
48,7341,0.00016346624996247834,2.7571130827143842,0.1922976046367369,0.0062240826421320209,0.0043112870611046478,7.197960798423752e-10
49,7431,6.089745770094693e-05,4.2602749086296079,0.52197163758614884,0.015841889890405431,0.01165582644369097,3.4094665473046657e-08
50,8462,5.9369256499425968e-05,5.523593414744016,0.53029843600156479,0.01713584918082971,0.011680162705394544,4.0043026776100263e-08
51,8582,0.49469702536868188,1.9963767120753624,6.4323056293709115e-05,2.1036219089213333e-06,1.4154037745968793e-06,8.866039765262717e-24
52,8744,0.0001437218714724699,4.8797516213004934,0.19530907164413958,0.0063458924453070557,0.0043957269404700638,7.7791900705973375e-10
