,ID,Probability,Mean,Sigma,Mean_Error,Sigma_Error
0,10518,3.8904284203411021e-05,6.4702235875470127,0.43667081544051572,0.013954927735685452,0.0099153269418412043
1,1174,5.3793977119555804e-05,5.2567817157856327,0.2396689226790864,0.0076596782268351796,0.0052938130501139716
2,12073,2.2834121308209187e-05,4.5234655772094632,0.52400454287077325,0.016323772099324948,0.011857205300343586
3,12840,2.0794487042690098e-05,4.7018851733648575,0.61646288740991662,0.019631439413093147,0.013214279498748769
4,13362,2.7467985729907614e-05,2.0770226465018191,0.38550328707619835,0.012276827864135925,0.0087421784633069481
5,15003,3.4147806544380548e-05,6.7454599025557949,0.45877794430262209,0.014580009511167445,0.010494502035939251
6,15220,3.8095051316478641e-05,5.8114540692020951,0.36872170080611094,0.011796750906979953,0.0077902058142084148
7,16588,2.5225538254546169e-05,6.6294969559174639,0.46063499534328423,0.014926246360519578,0.010000814135935995
8,17641,2.7306018155584176e-05,5.4502941745957107,0.38528866524686384,0.012619939842483991,0.0088093620672892257
9,18539,3.0149604030062983e-05,6.8104045051586057,0.51865931624763395,0.016615014655979417,0.011714463112141801
10,18651,2.0763188970025331e-05,6.6411330594692606,0.50436786580239623,0.015905249342000702,0.011450304949041749
11,19197,2.3859546378766734e-05,4.9174101849894312,0.4886420020591119,0.015659699825507981,0.01133853797214094
12,19591,2.716720060454656e-05,6.1855985271005158,0.4680751592842935,0.014630051824999586,0.010583054778540909
13,19898,3.4072845630324135e-05,4.866857940081581,0.39256267712940929,0.012514562794565601,0.0089453254968487467
14,20041,2.7014388533817494e-05,6.1642955194714579,0.39457326903982415,0.01233962066868779,0.0088567627468343259
15,2008,0.00022074323487876157,2.7423172236686773,0.46094301288796086,0.016249929360592445,0.011506849889321486
16,2010,1.5664440766506282e-05,5.285339373045872,0.68811746528202111,0.021997951531359673,0.015518443333580463
17,20620,2.2827400648928158e-05,5.4163989351020998,0.57712422824510456,0.018118824938397043,0.012956803361617449
18,20972,3.505591820315474e-05,6.1297456123809644,0.34127721761460111,0.011119600944788964,0.0074214337291825553
19,2128,inf,inf,inf,inf,inf
20,21872,2.8205467582149027e-05,5.1949729105485227,0.38145281134686604,0.012139742765707029,0.0085524486388301665
21,22,2.6301245815761031e-05,6.0240019475048543,0.52976368519278327,0.016691725946285468,0.011780196014864486
22,22998,2.4414676745791154e-05,6.1685969874820694,0.39470216761675259,0.012495276141866846,0.0087488887523114872
23,23005,3.6493541078368916e-05,6.7549566429746335,0.45991830691674329,0.014342150086943409,0.010358640792369696
24,23975,3.811931431302555e-05,5.7451386696337643,0.36034880456679363,0.011040861115080789,0.0079014999730927481
25,24008,3.4733465382547082e-05,4.6553069149660979,0.28133967872799098,0.0088476342087347275,0.0066018396143713498
26,24013,7.1981069583358797e-05,2.0432224435731956,0.18579067115937339,0.0059409004737382741,0.0040951278118269291
27,24017,1.9554365322574291e-05,5.2926185492045121,0.63757235696616221,0.020783091022784132,0.01401478239022237
28,24248,3.3620161449904938e-05,5.5290341556406277,0.3854870423212895,0.01215063022417596,0.0085165891433883027
29,24346,3.836555461412782e-05,6.6469973442455634,0.34899399104869799,0.011414179034943123,0.0078311958804723955
30,24453,4.4649697492981258e-05,4.3549535699180355,0.25362738702168514,0.0079929153292711951,0.0059223018502030786
31,24576,4.8379059541578887e-05,5.0872044503100931,0.23752010298241838,0.0074490494713928624,0.0052711663302720509
32,24631,3.3373450222316277e-05,5.1165310928053573,0.33981135981128185,0.010648140857826503,0.0077739529347069843
33,24705,2.8901424926806927e-05,5.2722504617832762,0.39857193279768849,0.012531633153762312,0.0088498815384964527
34,24763,2.1324635826037797e-05,5.8638041751113121,0.53296421650927051,0.017462893065440931,0.011984110518455328
35,24824,1.7309990359436915e-05,5.8504698735174037,0.66450667366674698,0.021153214780302583,0.015147776999444596
36,24930,2.8166632642914785e-05,5.1817164541395417,0.47610280156949808,0.01490443385148232,0.010591398002770496
37,3000,2.2942652829260832e-05,6.0945534155037207,0.5208462237679784,0.01646459670531392,0.012221094725652153
38,3898,1.5521643522477054e-08,5.4593931213159008,0.99137837893195202,0.024516979560370449,0.016860168653191582
39,42,2.4923411763480302e-05,4.0699495773287007,0.45796940892180554,0.014981451445743799,0.010194423665348755
40,4753,3.6324970237310124e-05,6.207153589318378,0.31777897808496058,0.0098337864232861585,0.0071233368571826808
41,5505,3.6524977783419049e-05,4.6155905345435464,0.31514153592738275,0.010167168223326131,0.0069201234723689116
42,5958,2.3565717956371975e-05,5.8557261039325645,0.4924385236355166,0.016103985086207674,0.011429056384900533
43,67,0.00038055490318267146,7.4886061834354241,0.28714598286677118,0.010146241068439728,0.0073420453481747227
44,7341,6.1812186711996216e-05,2.753723273115912,0.1924073491685753,0.00619953020855484,0.0043567955410179927
45,7431,2.0522505210586979e-05,4.2623265357266611,0.51926072754602093,0.016700309158818837,0.011576459634981754
46,8462,2.1283279335298886e-05,5.5162290958943814,0.52921740991251121,0.017009845234846849,0.011469691648096959
47,8744,6.6638748640238446e-05,4.8763352467679386,0.19757681818412012,0.0062156595196999143,0.0043451097348431575
