,ID,Gamma,Location,Alpha,Det,log_Prob
0,10518.0,1.59665394494,5.78112491949,0.761921319358,2.76515800288e-11,-479.063268493
1,1174.0,3.37703186832,4.51092199584,0.831586321332,2.23087660836e-10,8.52253161369
2,12073.0,1.49381234419,3.78694549942,0.815885917394,3.41643949631e-12,-575.111278668
3,12840.0,2.25198772075,3.38284457482,1.49352589852,2.55780049619e-10,-889.868297029
4,13362.0,0.0586211711286,1.87403217406,0.422754688861,inf,inf
5,15003.0,2.26262973773,5.77318864406,1.1048452227,2.36651707167e-10,-586.534047487
6,15220.0,2.74172397001,4.8712372959,1.05484573573,2.52195121651e-10,-401.799913583
7,16588.0,2.60384491894,5.507139105,1.26293825848,7.48004938173e-10,-626.052856126
8,17641.0,2.57848091699,4.50521172898,1.06258605958,2.68227010971e-10,-457.49547642
9,18539.0,2.91982254445,5.42632808611,1.55754195384,5.72990030896e-09,-729.349879777
10,18651.0,5.99815630528,4.06833535935,2.77672434422,7.91526288543e-07,-719.964695704
11,19197.0,2.74451248579,3.64154762441,1.43047223345,2.55190370047e-10,-692.112500395
12,19591.0,2.97089316154,4.89999677457,1.43622644093,1.90450029359e-09,-650.789499524
13,19898.0,1.65848331637,4.24993687425,0.699316071532,1.46661309478e-12,-362.49228676
14,20041.0,2.58508566708,5.20059383012,1.08334339365,2.33184032252e-10,-476.392902624
15,2008.0,1.86908483864,1.91663570562,0.931741552251,1.82775152479e-10,-457.26805473
16,2010.0,2.11993859216,3.89404117044,1.57224190913,2.07154181504e-10,-993.363707416
17,20620.0,1.87162453214,4.39837827514,1.15512095606,3.26394111034e-11,-779.431113427
18,20972.0,2.62582771194,5.28828875882,0.948260743052,1.91993165853e-10,-329.390038608
19,2105.0,0.240014879685,2.15480389824,0.43941108944,inf,inf
20,2128.0,0.0603410226057,2.22872177159,6.01120015524e-05,inf,inf
21,21872.0,1.70798418031,4.57580030298,0.696861224689,2.89067743755e-12,-329.288878579
22,22032.0,0.345480849508,1.89979801341,0.0479413884444,inf,inf
23,22.0,2.51410250831,4.77529420312,1.40450091669,1.2776265046e-09,-757.921231467
24,22998.0,2.05021563022,5.40111699236,0.869788365312,5.85705283379e-12,-418.942410492
25,23005.0,3.15771463843,5.42830149268,1.49169671112,1.88007270279e-09,-619.207057153
26,23975.0,1.34705778875,5.27926350562,0.507055437651,inf,inf
27,24008.0,2.61888033736,3.9530430937,0.786815072228,4.40405200486e-11,-143.52468521
28,24013.0,0.149301365552,1.96414323362,0.302880864437,inf,inf
29,24017.0,2.05630573726,4.03824899069,1.40854881231,3.50018045817e-10,-912.349689307
30,24248.0,2.79482826276,4.51885721222,1.13015339624,2.60027744202e-10,-452.57379646
31,24346.0,2.66501714951,5.77482740392,0.976505021681,1.67287415108e-10,-345.017215217
32,24453.0,1.54642245646,3.97182173429,0.426468894845,1.33233342509e-12,85.6064176361
33,24576.0,1.79720980878,4.68341753263,0.455841352693,1.91582435447e-13,130.159330585
34,24631.0,2.55406339544,4.28556986209,0.933521849546,1.12810822278e-10,-327.965016612
35,24705.0,2.11109675356,4.47388580895,0.904053495967,1.16173029255e-11,-433.323430243
36,24763.0,2.77098849678,4.50123156689,1.53240890821,4.37514965809e-09,-779.697084028
37,24824.0,2.32734424668,4.38983174487,1.65093773364,1.97423710773e-09,-980.038906538
38,24930.0,0.79464514112,4.66478974305,0.461983076594,inf,inf
39,2612.0,0.268627133528,2.75990788718,1.78939094186e-05,inf,inf
40,3000.0,1.72180572016,5.24104386834,0.956596320739,5.77801667144e-12,-641.590212071
41,3898.0,2.13674876196,3.45738947561,2.25471183683,2.61191346961e-10,-2229.54995984
42,42.0,2.24834140662,3.08204085648,1.11547472164,3.8328563479e-11,-597.622728937
43,4641.0,0.382622581758,2.43107120855,0.14732711058,inf,inf
44,4753.0,0.864943800192,5.89950060664,0.347090446046,inf,inf
45,5505.0,1.94543865377,4.02517694019,0.664333170475,1.78850907758e-11,-201.234714532
46,5958.0,2.4650099128,4.68946066934,1.31912215817,5.54616978487e-11,-674.259337426
47,67.0,6.23880309485,5.98353793445,1.61786872449,2.12216123875e-07,-115.092042295
48,7341.0,0.37917756737,2.56608268862,0.184828162376,inf,inf
49,7431.0,2.25973738751,3.14428370033,1.25737033285,9.72491605499e-11,-726.036937611
50,8462.0,2.09631428849,4.45937324969,1.19955100055,1.70863202138e-10,-733.433922005
51,8582.0,0.184163332004,1.99626001819,1.19100278327,inf,inf
52,8744.0,0.833251932557,4.70525713081,0.154638909864,inf,inf
