,ID,Probability,Mean,Sigma,Mean_Error,Sigma_Error
0,10518,0.51199924531535379,6.4693966577201358,0.60450539308736295,0.019714539219438953,0.019823003674323943
1,1174,0.91781446625728758,5.2565608125208527,0.3393346904111601,0.010814395777315234,0.010924057768510728
2,12073,0.41985458583322416,4.5212198471117073,0.73903748711591799,0.023184178468795232,0.023969483424810679
3,12840,0.35674884597082562,4.7137354295323819,0.87294619347525648,0.026967886871053979,0.027510391323398668
4,13362,0.56823871856592356,2.0774226544712033,0.54521630411180833,0.01770629298330401,0.01740536138161233
5,15003,0.48019122591660984,6.7539368540561631,0.64529079833134573,0.021022078925843107,0.021057239712882325
6,15220,0.59758969539504392,5.812735359577319,0.5224188652342997,0.016344912917845955,0.016536962515605835
7,16588,0.47717516732484389,6.6274683074875167,0.64894304204600817,0.020923878588689451,0.020938885505263218
8,17641,0.56606367013397951,5.4497720249313355,0.54956070856558981,0.017299026352032593,0.017824105864273895
9,18539,0.4192766911221355,6.8138922026116155,0.74543724630687425,0.023846719076361197,0.024484849252524653
10,18651,0.43274843751080805,6.63143882977998,0.71805086847897204,0.023096906187634363,0.023303593447781448
11,19197,0.45020367096174341,4.9192903642149357,0.68838832326764954,0.021721478638152467,0.022174361946517042
12,19591,0.46815888454493393,6.1804748260307818,0.66730422168615988,0.020896091697060033,0.021469519336795015
13,19898,0.56214176531336768,4.8730850794255929,0.55334951052580783,0.017332538220861733,0.017540038076798537
14,20041,0.55803481124357734,6.1652000602905837,0.55209298882245061,0.018571365009522323,0.01794467227916486
15,2008,0.47861914750803686,2.7410309557388488,0.64874423640559897,0.022947341321259297,0.02334433590638485
16,2010,0.3185172369269883,5.2864945470489388,0.97044749782029338,0.030685988678282261,0.031720518870763041
17,20620,0.37979090150769301,5.4188921906876706,0.82334496673380453,0.025554295539855273,0.025184861315032184
18,20972,0.64088982462712385,6.1284435377575077,0.48647187418276916,0.015479397160869775,0.015318904685048387
19,2128,,,,,
20,21872,0.57254632477832723,5.1933120360968017,0.54315977067372612,0.017166059653897711,0.017351558662609862
21,22,0.41695112018879488,6.0195588662466761,0.74631050842578783,0.024019896721672984,0.023428100598127138
22,22998,0.54923506893732477,6.1698047829089999,0.56745365495235378,0.01763064331932078,0.017959467826510596
23,23005,0.48028867968271255,6.7606169154488693,0.64670758118796468,0.020518038550112364,0.020858843853324954
24,23975,0.61374814285028112,5.7475449258994358,0.50628550867711486,0.015778222367989304,0.016514927894717785
25,24008,0.77035366060733879,4.6563442221046865,0.40491396443237704,0.013052843474764549,0.012465269065084952
26,24013,,,,,
27,24017,0.34514554811185955,5.2809849432195399,0.90016737944854286,0.028662500502003339,0.02799814371330964
28,24248,0.56819935918111841,5.5301287400747325,0.5505165051928903,0.017537645743253085,0.016866013675173958
29,24346,0.6319714175954313,6.6437836689494132,0.49147719072205232,0.015828374222185183,0.015556110249080626
30,24453,0.86413849422596023,4.3531420176174676,0.35948077767314029,0.011236240034666322,0.011437903922296285
31,24576,0.92536886944147334,5.0858537783523587,0.33497490803828545,0.010509770525265492,0.011077869874489627
32,24631,0.64384915192424341,5.1109919708028722,0.48331096799347811,0.014920454680062336,0.01594360717409175
33,24705,0.55025619560108741,5.2738646440025851,0.5646452481090779,0.017548304810196116,0.018188304862344996
34,24763,0.40831739840687148,5.871608516569772,0.76616300199397236,0.024272661531334394,0.023811717849381672
35,24824,0.32828099734939276,5.8451348269706358,0.94899663922672861,0.030675068294333797,0.029692874095163028
36,24930,0.46491304170500197,5.1897783807967128,0.66693581400800372,0.021091372845964778,0.021098899614032236
37,3000,0.41999000421154359,6.0901258898130628,0.74224550103498288,0.023398633043981189,0.024039835196996064
38,3898,0.22147834475203729,5.4520776007026974,1.4042095119595668,0.034446675157185122,0.035186948968245063
39,42,0.47801119876806591,4.0743750156612464,0.65087019209415808,0.020268938003630291,0.020407505636387421
40,4753,0.68750931852098651,6.2103576791102428,0.45322952861861771,0.014085098652823225,0.01444352371520468
41,5505,0.69741899625435455,4.610504453936203,0.44449161233445905,0.014118495065270756,0.01409830424215576
42,5958,0.44163453391010682,5.8579260199528465,0.70579214327074224,0.022416734769151916,0.022266312139370571
43,67,0.77194446442841935,7.4864388847575345,0.40133812725751561,0.014556325221628794,0.014380230088367824
44,7341,,,,,
45,7431,0.41965401046344414,4.2552755812135583,0.74240466718938558,0.023615582672090896,0.02370581340429857
46,8462,0.41094456198639884,5.5286556601792887,0.76109921695549154,0.024582464908580518,0.023981110719505892
47,8744,1.1202964469224423,4.8774045515697537,0.27657807838788273,0.0089695399844223443,0.008573304795393949
