,Unnamed: 0,runstring,t,t_shadow
19651,19651,0019651.bin,1680.46657473,1680.46657473
19680,19680,0019680.bin,89.5099487856,89.5099487856
19683,19683,0019683.bin,75.2749242155,75.2749242155
19684,19684,0019684.bin,18.2211699084,18.2211699084
19691,19691,0019691.bin,66.4413334111,66.4413334111
19693,19693,0019693.bin,88.1256172412,88.1256172412
19705,19705,0019705.bin,27.3316843484,27.3316843484
19717,19717,0019717.bin,65.7485004963,65.7485004963
19722,19722,0019722.bin,18.8096142156,18.8096142156
19724,19724,0019724.bin,37.8969659667,37.8969659667
19733,19733,0019733.bin,33.220726951,33.220726951
19763,19763,0019763.bin,20.0569145811,20.0569145811
19764,19764,0019764.bin,146.254355688,146.254355688
19773,19773,0019773.bin,258.802959765,258.802959765
19774,19774,0019774.bin,3.01376639919,3.01376639919
19776,19776,0019776.bin,5.16125734122,5.16125734122
19779,19779,0019779.bin,26.2227864755,26.2227864755
19782,19782,0019782.bin,141.993176077,141.993176077
19783,19783,0019783.bin,379.280682659,379.280682659
19784,19784,0019784.bin,15.1034803443,15.1034803443
19792,19792,0019792.bin,112.786951243,112.786951243
19797,19797,0019797.bin,174.347882058,174.347882058
19798,19798,0019798.bin,5.43853755807,5.43853755807
19810,19810,0019810.bin,27.0889858134,27.0889858134
19812,19812,0019812.bin,23.3132175582,23.3132175582
19816,19816,0019816.bin,34.5716161478,34.5716161478
19821,19821,0019821.bin,27.1929597621,27.1929597621
19827,19827,0019827.bin,133.645000013,133.645000013
19831,19831,0019831.bin,8.3138432318,8.3138432318
19832,19832,0019832.bin,329.401404957,329.401404957
19836,19836,0019836.bin,54.3165948112,54.3165948112
19837,19837,0019837.bin,85.1128838677,85.1128838677
19849,19849,0019849.bin,156.230108962,156.230108962
19854,19854,0019854.bin,381.085072491,381.085072491
19859,19859,0019859.bin,187.648383152,187.648383152
19868,19868,0019868.bin,56.3585252615,56.3585252615
19897,19897,0019897.bin,37.4122378497,37.4122378497
19904,19904,0019904.bin,10.6347888627,10.6347888627
19912,19912,0019912.bin,186.78426751,186.78426751
19916,19916,0019916.bin,6.3736971466,6.3736971466
19917,19917,0019917.bin,57.1570558154,57.1570558154
19919,19919,0019919.bin,170.08734033,170.08734033
19937,19937,0019937.bin,393.486831526,393.486831526
19947,19947,0019947.bin,36.4077055423,36.4077055423
19950,19950,0019950.bin,87.676328426,87.676328426
19952,19952,0019952.bin,17.2856104749,17.2856104749
19957,19957,0019957.bin,1992.62000223,1992.62000223
19959,19959,0019959.bin,122.039800467,122.039800467
19963,19963,0019963.bin,44.3058430688,44.3058430688
19969,19969,0019969.bin,5.81957146031,5.81957146031
19973,19973,0019973.bin,67.5150451352,67.5150451352
19974,19974,0019974.bin,32.8741686516,32.8741686516
19980,19980,0019980.bin,104.581091328,104.581091328
19993,19993,0019993.bin,8.52165018632,8.52165018632
19998,19998,0019998.bin,71.0483460045,71.0483460045
20003,20003,0020003.bin,39.6636084258,39.6636084258
20006,20006,0020006.bin,4264.47745213,4264.47745213
20007,20007,0020007.bin,6.61612187734,6.61612187734
20008,20008,0020008.bin,224.438790866,224.438790866
20011,20011,0020011.bin,52.5850591052,52.5850591052
20013,20013,0020013.bin,110.989240135,110.989240135
20021,20021,0020021.bin,74.4435231648,74.4435231648
20026,20026,0020026.bin,130.422660908,130.422660908
20027,20027,0020027.bin,1.73203674848,1.73203674848
20036,20036,0020036.bin,273.490470533,273.490470533
20042,20042,0020042.bin,32.597194566,32.597194566
20058,20058,0020058.bin,74.2008031604,74.2008031604
20066,20066,0020066.bin,270.372699085,270.372699085
20068,20068,0020068.bin,72.1222461916,72.1222461916
20070,20070,0020070.bin,71.4293466129,71.4293466129
20080,20080,0020080.bin,1.97452578188,1.97452578188
20081,20081,0020081.bin,198.250517544,198.250517544
20082,20082,0020082.bin,63.5315132699,63.5315132699
20089,20089,0020089.bin,19.017912394,19.017912394
20101,20101,0020101.bin,32.0428750626,32.0428750626
20105,20105,0020105.bin,1334.53176175,1334.53176175
20110,20110,0020110.bin,5.43863561621,5.43863561621
20121,20121,0020121.bin,9.69918972949,9.69918972949
20123,20123,0020123.bin,10.2537372136,10.2537372136
20124,20124,0020124.bin,334.770315373,334.770315373
20128,20128,0020128.bin,11.708662306,11.708662306
20140,20140,0020140.bin,74.0272203108,74.0272203108
20145,20145,0020145.bin,16.142695511,16.142695511
20149,20149,0020149.bin,202.545661251,202.545661251
20155,20155,0020155.bin,7.10127029372,7.10127029372
20162,20162,0020162.bin,98.6919391417,98.6919391417
20166,20166,0020166.bin,29.9637580581,29.9637580581
20170,20170,0020170.bin,36.9966024741,36.9966024741
20175,20175,0020175.bin,227.903173978,227.903173978
20177,20177,0020177.bin,5.85424871984,5.85424871984
20181,20181,0020181.bin,16.4544781145,16.4544781145
20197,20197,0020197.bin,357.831161787,357.831161787
20202,20202,0020202.bin,1.80131961038,1.80131961038
20204,20204,0020204.bin,66.3721598556,66.3721598556
20206,20206,0020206.bin,33.7394643425,33.7394643425
20224,20224,0020224.bin,45.3450794495,45.3450794495
20228,20228,0020228.bin,14.4451103857,14.4451103857
20236,20236,0020236.bin,34.2945985196,34.2945985196
20242,20242,0020242.bin,64.7786736395,64.7786736395
20243,20243,0020243.bin,99.8692457285,99.8692457285
20250,20250,0020250.bin,243.179817396,243.179817396
20261,20261,0020261.bin,21.2349191101,21.2349191101
20267,20267,0020267.bin,77.3176363784,77.3176363784
20269,20269,0020269.bin,11.1197632911,11.1197632911
20271,20271,0020271.bin,14.999557681,14.999557681
20274,20274,0020274.bin,1.52420382598,1.52420382598
20276,20276,0020276.bin,12.4361240786,12.4361240786
20283,20283,0020283.bin,85.4593820074,85.4593820074
20290,20290,0020290.bin,133.956320669,133.956320669
20293,20293,0020293.bin,20.1610495187,20.1610495187
20302,20302,0020302.bin,15.1727637455,15.1727637455
20314,20314,0020314.bin,6.23535635819,6.23535635819
20316,20316,0020316.bin,191.351085798,191.351085798
20320,20320,0020320.bin,23.7637356366,23.7637356366
20321,20321,0020321.bin,1.69738347503,1.69738347503
20325,20325,0020325.bin,58.1622395852,58.1622395852
20326,20326,0020326.bin,10.6346443484,10.6346443484
20327,20327,0020327.bin,35.8879033093,35.8879033093
20328,20328,0020328.bin,417.666506837,417.666506837
20335,20335,0020335.bin,19.7799237238,19.7799237238
20339,20339,0020339.bin,53.4835774338,53.4835774338
20360,20360,0020360.bin,4.01832022595,4.01832022595
20371,20371,0020371.bin,15.0688239085,15.0688239085
20382,20382,0020382.bin,122.94084632,122.94084632
