Unnamed: 0,runstring,t
0,0000000.bin,6515162.22726054
1,0000001.bin,9563799.609852714
2,0000002.bin,7136457.526115813
3,0000003.bin,7175995.664068111
4,0000004.bin,12239295.465296883
5,0000005.bin,11177902.17708562
6,0000006.bin,15086208.529895976
7,0000007.bin,6516485.842355502
8,0000008.bin,7110689.0899855755
9,0000009.bin,30126194.247831687
10,0000010.bin,7204081.032508952
11,0000011.bin,7118762.469828968
12,0000012.bin,7082564.679514259
13,0000013.bin,55547419.26808824
14,0000014.bin,20586731.58182907
15,0000015.bin,7214599.427936268
16,0000016.bin,8527521.444953952
17,0000017.bin,6520394.969317986
18,0000018.bin,13690780.33024168
19,0000019.bin,6521114.369065233
20,0000020.bin,6479913.512030403
21,0000021.bin,6590180.073367098
22,0000022.bin,6564019.899758641
23,0000023.bin,11020142.121763825
24,0000024.bin,7171215.406953518
25,0000025.bin,10110734.550248407
26,0000026.bin,9053403.575347424
27,0000027.bin,430144201.8410252
28,0000028.bin,7143497.713224548
29,0000029.bin,7185194.60474834
30,0000030.bin,7142958.891552046
31,0000031.bin,7131570.892037842
32,0000032.bin,7203619.462746562
33,0000033.bin,8152113.5639123125
34,0000034.bin,7779776.762096863
35,0000035.bin,6489082.495498754
36,0000036.bin,12057467.001534397
37,0000037.bin,16435794.723969143
38,0000038.bin,6634993.115995001
39,0000039.bin,7037429.10668788
40,0000040.bin,26969887.898185745
41,0000041.bin,7188331.282397636
42,0000042.bin,7857091.084196208
43,0000043.bin,7268629.30350691
44,0000044.bin,10694179.757343216
45,0000045.bin,126567222.68808535
46,0000046.bin,15461556.016557783
47,0000047.bin,6638548.229493582
48,0000048.bin,8619479.930128848
49,0000049.bin,10404016.09644398
50,0000050.bin,7060554.8890573345
51,0000051.bin,7144520.087474071
52,0000052.bin,18045233.25899937
53,0000053.bin,14092330.15339719
54,0000054.bin,7179785.792577528
55,0000055.bin,9528293.549111914
56,0000056.bin,7208079.824390672
57,0000057.bin,7173132.0730613265
58,0000058.bin,7167524.305572058
59,0000059.bin,7809480.190519184
60,0000060.bin,6565864.306454097
61,0000061.bin,9849984.03445463
62,0000062.bin,8931219.48196362
63,0000063.bin,65556304.53199758
64,0000064.bin,7206127.4457629
65,0000065.bin,7103629.694361109
66,0000066.bin,6575336.264425438
67,0000067.bin,10942658.869704582
68,0000068.bin,7123253.205204784
69,0000069.bin,6999291.974432457
70,0000070.bin,11036070.855410857
71,0000071.bin,7198553.8460033955
72,0000072.bin,7229505.857137274
73,0000073.bin,238014304.50132275
74,0000074.bin,6593870.134993262
75,0000075.bin,7127848.029552655
76,0000076.bin,7119171.475005697
77,0000077.bin,6664242.949496208
78,0000078.bin,14918141.65523879
79,0000079.bin,7084372.540644706
80,0000080.bin,7043861.403092369
81,0000081.bin,6635568.968655102
82,0000082.bin,7143979.324104384
83,0000083.bin,6601665.781987037
84,0000084.bin,6627873.596585122
85,0000085.bin,6608941.192145907
86,0000086.bin,7065335.353772334
87,0000087.bin,7147476.6026848545
88,0000088.bin,6536277.102182677
89,0000089.bin,9495781.866801802
90,0000090.bin,15590210.824879497
91,0000091.bin,7074922.912222884
92,0000092.bin,6490095.784926424
93,0000093.bin,6569543.272651442
94,0000094.bin,6482675.441190373
95,0000095.bin,6639902.773087665
96,0000096.bin,17363218.28748518
97,0000097.bin,7088915.562779413
98,0000098.bin,7095922.879686699
99,0000099.bin,7156757.927350839
100,0000100.bin,25927148.10317176
101,0000101.bin,7227170.339102492
102,0000102.bin,7286600.497231531
103,0000103.bin,6608457.986301717
104,0000104.bin,7379140.172273125
105,0000105.bin,7051760.0988668585
106,0000106.bin,8931929.17323071
107,0000107.bin,17295624.112371106
108,0000108.bin,35540019.08158119
109,0000109.bin,31705304.33390612
110,0000110.bin,7179501.40291728
111,0000111.bin,13148829.38599042
112,0000112.bin,8785908.912122123
113,0000113.bin,20920961.425615955
114,0000114.bin,10285321.653630711
115,0000115.bin,6539453.029464644
116,0000116.bin,7179043.5085128285
117,0000117.bin,7130284.654663647
118,0000118.bin,16090865.073795427
119,0000119.bin,7135195.836934682
120,0000120.bin,6589263.313709803
121,0000121.bin,7865408.424299592
122,0000122.bin,13200662.090585774
123,0000123.bin,6579959.9368826635
124,0000124.bin,6493312.349650506
125,0000125.bin,7150269.460348328
126,0000126.bin,6073920.812876161
127,0000127.bin,23882353.919340514
128,0000128.bin,6461130.340646804
129,0000129.bin,13240500.083519738
130,0000130.bin,36732393.69175914
131,0000131.bin,6055905.098744491
132,0000132.bin,6539535.897991979
133,0000133.bin,9517515.034976287
134,0000134.bin,9936004.038912173
135,0000135.bin,6643592.418633217
136,0000136.bin,6615070.2366644675
137,0000137.bin,6623396.868741583
138,0000138.bin,7160114.08553191
139,0000139.bin,15166455.098558508
140,0000140.bin,6700888.7176757455
141,0000141.bin,6561706.572137352
142,0000142.bin,7193188.027727977
143,0000143.bin,7265792.826503402
144,0000144.bin,6663084.1712848935
145,0000145.bin,7117003.63661374
146,0000146.bin,7194793.120373935
147,0000147.bin,19579137.038133457
148,0000148.bin,24389939.828850556
149,0000149.bin,11377481.729517693
150,0000150.bin,41003531.499720044
151,0000151.bin,7002108.201395688
152,0000152.bin,6528933.316011704
153,0000153.bin,18685162.72097548
154,0000154.bin,16977901.490068696
155,0000155.bin,11188452.402799912
156,0000156.bin,9605832.625038512
157,0000157.bin,10131413.583485346
158,0000158.bin,6627400.4459708575
159,0000159.bin,6642210.898841623
160,0000160.bin,7139683.590414659
161,0000161.bin,9579556.364376824
162,0000162.bin,7278933.973271572
163,0000163.bin,6470697.164958454
164,0000164.bin,7148882.670669283
165,0000165.bin,9547557.637542007
166,0000166.bin,7155288.268703937
167,0000167.bin,17924470.628541335
168,0000168.bin,7228338.687562655
169,0000169.bin,6650148.637087318
170,0000170.bin,6621769.239394639
171,0000171.bin,6588000.792812704
172,0000172.bin,19411144.225012034
173,0000173.bin,6665512.613517996
174,0000174.bin,20554459.075325806
175,0000175.bin,9613880.207344558
176,0000176.bin,7085341.72619132
177,0000177.bin,6535721.845409517
178,0000178.bin,6524307.286214409
179,0000179.bin,7029746.285876189
180,0000180.bin,7145252.940426052
181,0000181.bin,6490500.421719905
182,0000182.bin,10546707.520885425
