Unnamed: 0,runstring,t
0,0000000.bin,7069612.432830022
1,0000001.bin,6977143.352446223
2,0000002.bin,9401777.038106171
3,0000003.bin,12159552.005796775
4,0000004.bin,7138398.53193098
5,0000005.bin,6888007.754406063
6,0000006.bin,7141543.114629489
7,0000007.bin,9093780.3206257
8,0000008.bin,6465715.179112798
9,0000009.bin,6539353.448008173
10,0000010.bin,6654605.114892371
11,0000011.bin,7078026.649880364
12,0000012.bin,6487978.292477846
13,0000013.bin,10757165.724125013
14,0000014.bin,6731214.253704211
15,0000015.bin,6662938.265976631
16,0000016.bin,6957011.185623901
17,0000017.bin,7205017.348295654
18,0000018.bin,9572499.187645942
19,0000019.bin,9433818.482338939
20,0000020.bin,7274723.120038697
21,0000021.bin,6788811.724685597
22,0000022.bin,6456387.254096558
23,0000023.bin,6642378.370883323
24,0000024.bin,9487323.614109643
25,0000025.bin,7076497.283521399
26,0000026.bin,6493378.714172438
27,0000027.bin,6412693.185274744
28,0000028.bin,12702038.235067526
29,0000029.bin,14990313.595163979
30,0000030.bin,6663368.283558695
31,0000031.bin,6444076.323094424
32,0000032.bin,7221857.501493061
33,0000033.bin,6433460.842681021
34,0000034.bin,12161204.32296042
35,0000035.bin,9751065.110806128
36,0000036.bin,8983233.666134888
37,0000037.bin,6533990.889013349
38,0000038.bin,6644342.330804808
39,0000039.bin,6497209.687719434
40,0000040.bin,6626278.212876137
41,0000041.bin,7057578.610119314
42,0000042.bin,6494491.793535719
43,0000043.bin,7068883.948705633
44,0000044.bin,19095322.457000148
45,0000045.bin,6650755.55650213
46,0000046.bin,8909286.318269156
47,0000047.bin,18478050.829255722
48,0000048.bin,6563449.872198359
49,0000049.bin,6627712.296814674
50,0000050.bin,6440817.180110924
51,0000051.bin,7038495.793298678
52,0000052.bin,6499376.000049762
53,0000053.bin,6655440.8085828135
54,0000054.bin,6640474.534307123
55,0000055.bin,13575713.676071335
56,0000056.bin,7132994.296182729
57,0000057.bin,6747799.628605153
58,0000058.bin,9544156.404098462
59,0000059.bin,6675795.5080638975
60,0000060.bin,6742345.602127693
61,0000061.bin,6664416.6622748645
62,0000062.bin,6437766.007041467
63,0000063.bin,20017119.321302887
64,0000064.bin,6434857.895628332
65,0000065.bin,6301250.578030069
66,0000066.bin,6963494.104914011
67,0000067.bin,9014369.376767695
68,0000068.bin,6706309.250275183
69,0000069.bin,6481269.99732714
70,0000070.bin,7057475.768937063
71,0000071.bin,6634518.3010687595
72,0000072.bin,9343596.708918888
73,0000073.bin,7058821.783362946
74,0000074.bin,7004153.227723195
75,0000075.bin,9543434.091782223
76,0000076.bin,9012680.30600676
77,0000077.bin,16530529.70112603
78,0000078.bin,7066629.912715452
79,0000079.bin,6535197.447792032
80,0000080.bin,7040679.234635457
81,0000081.bin,6719958.705847178
82,0000082.bin,6631082.04733392
83,0000083.bin,6978658.294308974
84,0000084.bin,6654828.4108037595
85,0000085.bin,9761796.469372848
86,0000086.bin,9091697.084807958
87,0000087.bin,7061441.483018556
88,0000088.bin,9177196.228298642
89,0000089.bin,9639610.919713903
90,0000090.bin,8932408.842420876
