,Unnamed: 0,runstring,t
0,0,0000000.bin,119353638.60603732
1,1,0000001.bin,63472258.140313946
2,2,0000002.bin,16778556.397441346
3,3,0000003.bin,32977008.325964034
4,4,0000004.bin,29733110.997612953
5,5,0000005.bin,7839853.090154294
6,6,0000006.bin,49918052.97519462
7,7,0000007.bin,36206521.742442645
8,8,0000008.bin,16344732.471933514
9,9,0000009.bin,17385625.364174277
10,10,0000010.bin,14913582.058303198
11,11,0000011.bin,43298044.8794696
12,12,0000012.bin,13975123.330438634
13,13,0000013.bin,10659554.534832876
14,14,0000014.bin,7451088.884579351
15,15,0000015.bin,20800884.83929576
16,16,0000016.bin,20776577.948515214
17,17,0000017.bin,6260038.625571195
18,18,0000018.bin,9906972.229770303
19,19,0000019.bin,10579888.53528681
20,20,0000020.bin,7413310.897423021
21,21,0000021.bin,10548952.611691704
22,22,0000022.bin,108612770.72773159
23,23,0000023.bin,114767272.72397007
24,24,0000024.bin,17157924.8665058
25,25,0000025.bin,34711342.8987973
26,26,0000026.bin,9569139.630962543
27,27,0000027.bin,58802852.57849148
28,28,0000028.bin,12502239.131425226
29,29,0000029.bin,11864052.691730656
30,30,0000030.bin,14604596.946729483
31,31,0000031.bin,32650616.014179826
32,32,0000032.bin,30181013.979695506
33,33,0000033.bin,41925807.7954335
34,34,0000034.bin,12900243.896663731
35,35,0000035.bin,10364677.259039594
36,36,0000036.bin,12142697.358302081
37,37,0000037.bin,54138097.94145567
38,38,0000038.bin,166681251.83640942
39,39,0000039.bin,86295658.01210803
40,40,0000040.bin,55422302.87519763
41,41,0000041.bin,65683423.23366108
42,42,0000042.bin,33600280.56433605
43,43,0000043.bin,20967484.552622296
44,44,0000044.bin,11418292.722080288
45,45,0000045.bin,10550865.04683119
46,46,0000046.bin,9191475.210603975
47,47,0000047.bin,26972716.330639772
48,48,0000048.bin,103364266.49771933
49,49,0000049.bin,9141782.536990015
50,50,0000050.bin,7738748.092219783
51,51,0000051.bin,8583195.663851729
52,52,0000052.bin,32606359.752312884
53,53,0000053.bin,21175600.78810621
54,54,0000054.bin,15857892.09931813
55,55,0000055.bin,18276169.87672459
56,56,0000056.bin,41951639.74991705
57,57,0000057.bin,20763040.556390714
58,58,0000058.bin,9605711.546186643
59,59,0000059.bin,22794330.564588774
60,60,0000060.bin,34645979.88288034
61,61,0000061.bin,15930695.507750781
62,62,0000062.bin,9101887.2639105
63,63,0000063.bin,22444894.576414783
64,64,0000064.bin,11498281.94617659
65,65,0000065.bin,24013864.690201502
66,66,0000066.bin,42019170.258206114
67,67,0000067.bin,22973490.995051913
68,68,0000068.bin,15357418.774771068
69,69,0000069.bin,26751469.835421246
70,70,0000070.bin,209474905.94416314
71,71,0000071.bin,12186332.691880202
72,72,0000072.bin,11327312.784688773
73,73,0000073.bin,29533233.116877787
74,74,0000074.bin,34046830.89651145
75,75,0000075.bin,80362580.68582933
76,76,0000076.bin,18427595.2752268
77,77,0000077.bin,11273792.811896536
78,78,0000078.bin,17383904.116671827
79,79,0000079.bin,6171563.274778669
80,80,0000080.bin,10211751.134651333
81,81,0000081.bin,58764663.92492192
82,82,0000082.bin,54305336.24800004
83,83,0000083.bin,30658634.330515347
84,84,0000084.bin,37668457.57955846
85,85,0000085.bin,54579257.21457573
86,86,0000086.bin,113466987.81174839
87,87,0000087.bin,8282108.903950368
88,88,0000088.bin,205545284.85335732
89,89,0000089.bin,59892458.994513616
90,90,0000090.bin,9225955.915617546
91,91,0000091.bin,20537028.367118593
92,92,0000092.bin,9359386.957762077
93,93,0000093.bin,9393770.231052006
94,94,0000094.bin,8569303.703478817
95,95,0000095.bin,39040618.52123238
96,96,0000096.bin,20427764.066638302
97,97,0000097.bin,286565088.9302085
98,98,0000098.bin,23075085.442295406
99,99,0000099.bin,27217737.83003299
100,100,0000100.bin,26755311.280380607
101,101,0000101.bin,65797042.40779091
102,102,0000102.bin,15364552.718427721
103,103,0000103.bin,12115042.976670576
104,104,0000104.bin,83870507.2584556
105,105,0000105.bin,15501852.597816702
106,106,0000106.bin,13285897.509642357
107,107,0000107.bin,16305601.396849811
108,108,0000108.bin,8271369.224103826
109,109,0000109.bin,15124658.693360606
110,110,0000110.bin,7136335.337728662
111,111,0000111.bin,18741363.348550677
112,112,0000112.bin,21777853.923761874
113,113,0000113.bin,9164474.14159875
114,114,0000114.bin,52006834.61778876
115,115,0000115.bin,6463614.260457822
116,116,0000116.bin,13142920.44684954
117,117,0000117.bin,164376437.5923869
118,118,0000118.bin,8738133.735496182
119,119,0000119.bin,94059943.7143348
120,120,0000120.bin,29282411.066794965
121,121,0000121.bin,10951530.1492387
122,122,0000122.bin,46751283.70092684
123,123,0000123.bin,9391229.308859516
124,124,0000124.bin,16784787.520054854
125,125,0000125.bin,7454893.2291039815
126,126,0000126.bin,18577105.741675586
127,127,0000127.bin,34746435.374159455
128,128,0000128.bin,20300018.320542827
