Unnamed: 0,runstring,t
0,0000000.bin,9094478.63907674
1,0000001.bin,12602369.884213028
2,0000002.bin,10980888.441765849
3,0000003.bin,8972917.345894344
4,0000004.bin,17840600.15507856
5,0000005.bin,10354273.354271838
6,0000006.bin,22808670.710877568
7,0000007.bin,11924102.87824539
8,0000008.bin,13231736.22115352
9,0000009.bin,8172485.391959951
10,0000010.bin,32483815.33492757
11,0000011.bin,8583377.420822522
12,0000012.bin,8934045.140558211
13,0000013.bin,8992986.338230003
14,0000014.bin,8322050.915445814
15,0000015.bin,10937948.444307493
16,0000016.bin,20723674.1884588
17,0000017.bin,468440604.66519994
18,0000018.bin,5934665.437516719
19,0000019.bin,12369698.08080073
20,0000020.bin,8838887.843697669
21,0000021.bin,9016431.184544189
22,0000022.bin,10059630.330246137
23,0000023.bin,18662010.239610888
24,0000024.bin,14582621.273682
25,0000025.bin,12628481.65428099
26,0000026.bin,8404025.039908268
27,0000027.bin,11399366.073329723
28,0000028.bin,11430979.16472
29,0000029.bin,24447682.304301016
30,0000030.bin,9834762.426255906
31,0000031.bin,13850677.156817794
32,0000032.bin,8349970.962024102
33,0000033.bin,6635529.649237634
34,0000034.bin,17737027.531848665
35,0000035.bin,9309423.763760118
36,0000036.bin,11736890.6353395
37,0000037.bin,9315315.088469464
38,0000038.bin,12311308.325418763
39,0000039.bin,8960226.465523958
40,0000040.bin,9055850.741177507
41,0000041.bin,36874491.218631156
42,0000042.bin,36595333.0722473
43,0000043.bin,12101881.927571852
44,0000044.bin,8346766.394673991
45,0000045.bin,14236663.21609272
46,0000046.bin,10755652.723923266
47,0000047.bin,12535640.597656969
48,0000048.bin,10965092.575421674
49,0000049.bin,13347321.72568789
50,0000050.bin,9785162.81509611
51,0000051.bin,22454490.6647324
52,0000052.bin,12610981.599651346
53,0000053.bin,18821962.196147807
54,0000054.bin,11407597.840171253
55,0000055.bin,20935694.00374124
56,0000056.bin,11533505.835893355
57,0000057.bin,43668696.0480221
58,0000058.bin,10498159.617978932
59,0000059.bin,17686609.00836483
60,0000060.bin,8095406.223562748
61,0000061.bin,10869780.219524438
62,0000062.bin,15883719.618852241
63,0000063.bin,9162637.710132405
64,0000064.bin,7922024.158027644
65,0000065.bin,9508873.638831
66,0000066.bin,21834094.078802157
67,0000067.bin,12559494.726098254
68,0000068.bin,8989053.079050262
69,0000069.bin,9015653.741823567
70,0000070.bin,60389621.11232155
71,0000071.bin,55335978.17184525
72,0000072.bin,10756659.634391824
73,0000073.bin,11479651.683585258
74,0000074.bin,9292051.375892514
75,0000075.bin,12409758.467705091
76,0000076.bin,10677146.057833917
77,0000077.bin,9240734.677571837
78,0000078.bin,9011988.090038454
79,0000079.bin,12269437.511512022
80,0000080.bin,34340610.040611655
81,0000081.bin,8484725.34175722
82,0000082.bin,8941687.18543949
83,0000083.bin,16245878.109804522
84,0000084.bin,13697647.498224592
85,0000085.bin,23108458.54627818
86,0000086.bin,10610370.655906016
87,0000087.bin,32313610.718163125
88,0000088.bin,12035528.4292627
89,0000089.bin,11141870.817205232
90,0000090.bin,19503055.485273916
91,0000091.bin,17141544.202238724
92,0000092.bin,12191138.883800434
93,0000093.bin,8848037.13302836
94,0000094.bin,15310828.590217013
95,0000095.bin,23469305.002958573
96,0000096.bin,9675293.397752924
97,0000097.bin,12413695.332900977
98,0000098.bin,8713782.532350691
99,0000099.bin,10784322.06020569
100,0000100.bin,11864807.805343583
101,0000101.bin,9706434.794789895
102,0000102.bin,11192088.513010796
103,0000103.bin,9649807.617379507
104,0000104.bin,34768904.166750625
105,0000105.bin,11846035.38259415
106,0000106.bin,13380919.580979966
107,0000107.bin,15249687.168876126
108,0000108.bin,11276967.07539002
109,0000109.bin,13537143.682429487
110,0000110.bin,8422506.346388284
111,0000111.bin,8369769.156936779
112,0000112.bin,14872859.27482842
113,0000113.bin,15758514.656255614
114,0000114.bin,11290190.536270073
115,0000115.bin,10965812.321919058
116,0000116.bin,10649227.882416412
117,0000117.bin,37773935.83153164
118,0000118.bin,12982198.189391602
119,0000119.bin,18874503.41311802
120,0000120.bin,12376390.981222449
121,0000121.bin,6009946.037203408
122,0000122.bin,15457894.73403973
123,0000123.bin,6043440.288039593
124,0000124.bin,12311865.939988153
125,0000125.bin,9023231.086493181
126,0000126.bin,10796151.241958575
127,0000127.bin,10865013.416368738
128,0000128.bin,8569598.35597913
129,0000129.bin,9043709.777920809
130,0000130.bin,13826433.648223171
131,0000131.bin,14842765.632855378
132,0000132.bin,16753519.357315794
133,0000133.bin,32294943.0085063
134,0000134.bin,9305945.554907937
135,0000135.bin,12439424.727687836
136,0000136.bin,11707597.043023413
137,0000137.bin,14886379.26056033
138,0000138.bin,9672709.619029917
139,0000139.bin,14460050.297059022
140,0000140.bin,24052675.662208542
141,0000141.bin,14080159.71791236
142,0000142.bin,8670079.79361438
143,0000143.bin,7937498.810898259
144,0000144.bin,12097826.548902977
145,0000145.bin,9466713.927736655
146,0000146.bin,8230978.125200012
147,0000147.bin,9528081.903834233
148,0000148.bin,12713796.614122096
149,0000149.bin,48343353.28260514
150,0000150.bin,9127504.524651498
151,0000151.bin,21905540.93255527
152,0000152.bin,14487735.190674927
153,0000153.bin,11207127.671220504
154,0000154.bin,11447910.786741855
155,0000155.bin,7338338.681262927
156,0000156.bin,13973279.894542731
157,0000157.bin,9445401.691891823
158,0000158.bin,11471810.475787017
159,0000159.bin,9044428.62247505
160,0000160.bin,16653976.592827825
161,0000161.bin,8978852.63623475
162,0000162.bin,29193934.25735567
163,0000163.bin,13417612.36701326
164,0000164.bin,13549670.697208997
165,0000165.bin,19233542.494039312
166,0000166.bin,6543532.332538876
167,0000167.bin,11744720.123155616
168,0000168.bin,12125784.598507423
169,0000169.bin,13871567.974020131
170,0000170.bin,113172506.81866886
171,0000171.bin,15522837.65680381
172,0000172.bin,13202758.155490808
173,0000173.bin,10356959.765254822
174,0000174.bin,13045474.093998667
175,0000175.bin,7275110.141960608
176,0000176.bin,75603085.89875208
177,0000177.bin,394106377.08483183
178,0000178.bin,10837199.607315771
179,0000179.bin,10949528.117635828
180,0000180.bin,5987412.265206996
181,0000181.bin,17448903.071344078
182,0000182.bin,5982105.391389981
183,0000183.bin,8937519.04904815
184,0000184.bin,15318751.21071937
185,0000185.bin,13613812.807515072
186,0000186.bin,26383730.899317987
187,0000187.bin,9352128.1216408
188,0000188.bin,11202820.426349893
189,0000189.bin,9038265.806529088
190,0000190.bin,10971399.077148274
191,0000191.bin,10253996.696614085
192,0000192.bin,8641992.620972134
193,0000193.bin,14893858.341795646
194,0000194.bin,23361079.442067005
195,0000195.bin,16480786.889607782
196,0000196.bin,11446008.822467066
197,0000197.bin,22049707.702534884
198,0000198.bin,10360150.879482353
199,0000199.bin,9664732.423338056
