,Unnamed: 0,runstring,t
0,0,0000000.bin,22285447.461377967
1,1,0000001.bin,24451793.02185452
2,2,0000002.bin,42223625.2585495
3,3,0000003.bin,11975752.855016697
4,4,0000004.bin,12369372.42956606
5,5,0000005.bin,12044449.291487142
6,6,0000006.bin,19289079.060294542
7,7,0000007.bin,22710810.63772606
8,8,0000008.bin,14061885.271804798
9,9,0000009.bin,57544175.72414582
10,10,0000010.bin,27190195.85850808
11,11,0000011.bin,8239165.856847195
12,12,0000012.bin,10569987.114679713
13,13,0000013.bin,15289055.200678578
14,14,0000014.bin,14655630.780558608
15,15,0000015.bin,15319694.04420847
16,16,0000016.bin,13415255.28218437
17,17,0000017.bin,15289636.670857169
18,18,0000018.bin,17349628.81619567
19,19,0000019.bin,16938423.127671022
20,20,0000020.bin,14087187.076563673
21,21,0000021.bin,19457053.289028723
22,22,0000022.bin,10815586.477797851
23,23,0000023.bin,11942760.324630119
24,24,0000024.bin,14871073.465366809
25,25,0000025.bin,15410300.62091526
26,26,0000026.bin,10265267.15425603
27,27,0000027.bin,14725507.14637088
28,28,0000028.bin,21601400.638860915
29,29,0000029.bin,15226152.93502592
30,30,0000030.bin,13571921.18967919
31,31,0000031.bin,21842235.695296593
32,32,0000032.bin,10302777.603493115
33,33,0000033.bin,11983986.355521303
34,34,0000034.bin,15604962.819566099
35,35,0000035.bin,9106682.014111727
36,36,0000036.bin,25011559.407815043
37,37,0000037.bin,12347608.332888216
38,38,0000038.bin,9631417.362750258
39,39,0000039.bin,12337924.591136051
40,40,0000040.bin,11699626.712184673
41,41,0000041.bin,12406968.31448018
42,42,0000042.bin,12667159.55139281
43,43,0000043.bin,20732978.67507917
44,44,0000044.bin,14207382.660900936
45,45,0000045.bin,12525382.181233142
46,46,0000046.bin,14675043.963795323
47,47,0000047.bin,24953524.1517804
48,48,0000048.bin,12570156.66890876
49,49,0000049.bin,12757598.309762556
50,50,0000050.bin,12418652.700901814
51,51,0000051.bin,10126129.872110832
52,52,0000052.bin,8279324.506110242
53,53,0000053.bin,16959483.635123108
54,54,0000054.bin,17039729.024896637
55,55,0000055.bin,18196378.98383207
56,56,0000056.bin,13493596.626406316
57,57,0000057.bin,14819104.564849028
58,58,0000058.bin,8941314.24039017
59,59,0000059.bin,24185364.21267194
60,60,0000060.bin,24441547.504310872
61,61,0000061.bin,50557743.81631257
62,62,0000062.bin,17645604.67843306
63,63,0000063.bin,7850833.124687878
64,64,0000064.bin,14350948.405895669
65,65,0000065.bin,22928885.85178893
66,66,0000066.bin,30924025.855499525
67,67,0000067.bin,14484295.192582188
68,68,0000068.bin,14602654.414802065
69,69,0000069.bin,7903621.90696378
70,70,0000070.bin,24357375.165436845
71,71,0000071.bin,16537956.70320199
72,72,0000072.bin,12430600.950458132
73,73,0000073.bin,13222894.2755986
74,74,0000074.bin,25617644.07189656
75,75,0000075.bin,32343858.031803265
76,76,0000076.bin,10538704.389635086
77,77,0000077.bin,10359524.05674681
78,78,0000078.bin,7922626.847761201
79,79,0000079.bin,21231070.227467958
80,80,0000080.bin,16469802.971818112
81,81,0000081.bin,9683730.638038125
82,82,0000082.bin,18825006.989874236
83,83,0000083.bin,38594255.35502766
84,84,0000084.bin,22284941.717943605
85,85,0000085.bin,19645564.73710852
86,86,0000086.bin,8639900.786642062
87,87,0000087.bin,52876385.58700424
88,88,0000088.bin,41746413.61789932
89,89,0000089.bin,53601668.34793083
90,90,0000090.bin,25633479.049624544
91,91,0000091.bin,31052762.21476832
92,92,0000092.bin,9918990.033342855
93,93,0000093.bin,18205826.878846057
94,94,0000094.bin,13493919.017915905
95,95,0000095.bin,12144808.055304622
96,96,0000096.bin,17991603.095631916
97,97,0000097.bin,17659498.510708675
98,98,0000098.bin,40291156.46403468
99,99,0000099.bin,9912590.67675649
100,100,0000100.bin,26545263.05317898
101,101,0000101.bin,13600755.847388456
102,102,0000102.bin,20402811.14415911
103,103,0000103.bin,20107690.531336274
104,104,0000104.bin,18096242.752677713
105,105,0000105.bin,34294598.76492452
106,106,0000106.bin,12248406.545201043
107,107,0000107.bin,10174644.76656558
108,108,0000108.bin,12329519.804978041
109,109,0000109.bin,13545532.726952618
110,110,0000110.bin,17769799.540618595
111,111,0000111.bin,18225671.674644645
112,112,0000112.bin,8240785.997224388
113,113,0000113.bin,12099502.096670743
114,114,0000114.bin,11125926.480174836
115,115,0000115.bin,16385143.89086482
116,116,0000116.bin,17506296.87343481
117,117,0000117.bin,13451788.294066334
118,118,0000118.bin,13004703.391264826
119,119,0000119.bin,12391187.565209981
120,120,0000120.bin,61085134.77616216
121,121,0000121.bin,11107189.562789744
122,122,0000122.bin,15807076.08259875
123,123,0000123.bin,15479096.916229242
124,124,0000124.bin,15043534.338151991
125,125,0000125.bin,18285746.131963514
126,126,0000126.bin,13308360.964970589
127,127,0000127.bin,13152160.926722966
128,128,0000128.bin,22319568.673663568
129,129,0000129.bin,12058775.568488808
130,130,0000130.bin,40353602.2159351
131,131,0000131.bin,15832567.133294944
132,132,0000132.bin,17846450.98192027
133,133,0000133.bin,19970654.09900175
134,134,0000134.bin,22194741.372116916
135,135,0000135.bin,11032807.690690098
136,136,0000136.bin,12493744.472306985
137,137,0000137.bin,8230422.590599033
138,138,0000138.bin,25253057.97035889
139,139,0000139.bin,12564199.811380982
140,140,0000140.bin,27382265.124700207
141,141,0000141.bin,10930064.727149762
142,142,0000142.bin,19417414.389213823
143,143,0000143.bin,19072231.832645305
144,144,0000144.bin,17390362.27946353
145,145,0000145.bin,10880600.75803128
146,146,0000146.bin,13077279.136281569
147,147,0000147.bin,17604085.38152411
148,148,0000148.bin,22850745.473047163
149,149,0000149.bin,13514351.039202366
150,150,0000150.bin,11492679.725811139
151,151,0000151.bin,12856995.515671084
152,152,0000152.bin,13475879.378787687
153,153,0000153.bin,9013325.574449887
154,154,0000154.bin,16995423.38882091
155,155,0000155.bin,11389654.592567507
156,156,0000156.bin,69950067.86632702
157,157,0000157.bin,10401703.808957065
158,158,0000158.bin,12962681.888030907
159,159,0000159.bin,15072320.73030837
160,160,0000160.bin,12044378.696388029
161,161,0000161.bin,13000531.78799522
162,162,0000162.bin,12552878.453470334
163,163,0000163.bin,18666413.87600272
164,164,0000164.bin,19442604.96231671
165,165,0000165.bin,10662982.397742786
166,166,0000166.bin,8352450.096932082
167,167,0000167.bin,9368465.305704178
168,168,0000168.bin,83455529.2187587
169,169,0000169.bin,15176641.394260217
170,170,0000170.bin,34681995.91333784
171,171,0000171.bin,8900933.126285523
172,172,0000172.bin,17771831.80681668
173,173,0000173.bin,15239151.159175962
174,174,0000174.bin,14691170.266276574
175,175,0000175.bin,16287620.285658227
176,176,0000176.bin,20154732.022393864
177,177,0000177.bin,10288165.827717174
178,178,0000178.bin,16592899.178671122
179,179,0000179.bin,16391935.886880493
180,180,0000180.bin,12825523.89141808
181,181,0000181.bin,19136780.03602802
182,182,0000182.bin,44797693.65331811
183,183,0000183.bin,9133414.503989376
184,184,0000184.bin,10910896.19808777
185,185,0000185.bin,10139336.06573509
186,186,0000186.bin,10984384.888285197
187,187,0000187.bin,16608401.84835235
188,188,0000188.bin,18697575.452850804
189,189,0000189.bin,20035805.96253387
190,190,0000190.bin,10692608.090069873
191,191,0000191.bin,9284333.812756188
192,192,0000192.bin,21087531.111499045
193,193,0000193.bin,14286874.185737595
194,194,0000194.bin,20394881.796616185
195,195,0000195.bin,8668503.896208825
196,196,0000196.bin,10986322.70465851
197,197,0000197.bin,11011911.325330812
198,198,0000198.bin,12895858.845108693
199,199,0000199.bin,13371264.201469265
200,200,0000200.bin,22006125.904395517
201,201,0000201.bin,18375482.272403773
202,202,0000202.bin,15018310.201824337
203,203,0000203.bin,36436261.762112476
204,204,0000204.bin,12035837.159085793
205,205,0000205.bin,22199302.910308164
206,206,0000206.bin,19522206.054054808
207,207,0000207.bin,12919798.269650672
208,208,0000208.bin,22035436.070953596
209,209,0000209.bin,13567127.063152721
210,210,0000210.bin,10769458.209753329
211,211,0000211.bin,12288423.104720136
212,212,0000212.bin,27080034.077097055
213,213,0000213.bin,24923816.630676724
214,214,0000214.bin,16652287.383822223
215,215,0000215.bin,14604479.820628535
216,216,0000216.bin,26199705.74856372
217,217,0000217.bin,12952347.67641364
218,218,0000218.bin,17187439.188924808
219,219,0000219.bin,24816761.984545782
220,220,0000220.bin,16625464.257724313
221,221,0000221.bin,7625026.969696612
222,222,0000222.bin,17898267.39054464
223,223,0000223.bin,9097974.044959882
224,224,0000224.bin,20532967.5794268
225,225,0000225.bin,10992675.1141617
226,226,0000226.bin,10598702.91217966
227,227,0000227.bin,38994965.07303427
228,228,0000228.bin,19214124.10982112
229,229,0000229.bin,12312328.75799851
230,230,0000230.bin,10173650.546932131
231,231,0000231.bin,13265275.270680247
232,232,0000232.bin,10038826.265413066
233,233,0000233.bin,29850400.759777855
234,234,0000234.bin,16289728.417290993
235,235,0000235.bin,14094190.509818522
236,236,0000236.bin,31117778.575395055
237,237,0000237.bin,15952339.843159694
238,238,0000238.bin,12673231.662662592
239,239,0000239.bin,14120680.288108915
240,240,0000240.bin,9930673.310667329
241,241,0000241.bin,13549961.952174151
242,242,0000242.bin,19845327.919304967
243,243,0000243.bin,20640611.60079539
244,244,0000244.bin,29357835.49297923
245,245,0000245.bin,13122661.860518403
246,246,0000246.bin,27630371.7774376
247,247,0000247.bin,9859553.494189668
248,248,0000248.bin,28656664.88994742
249,249,0000249.bin,9121753.210364588
250,250,0000250.bin,16432040.447901858
251,251,0000251.bin,8837115.002458274
252,252,0000252.bin,14738805.570740515
253,253,0000253.bin,13013687.913944153
254,254,0000254.bin,8420718.318280384
255,255,0000255.bin,13423934.125396548
256,256,0000256.bin,10264619.042618034
257,257,0000257.bin,15693444.82953838
258,258,0000258.bin,13624493.057770634
259,259,0000259.bin,13741385.256459566
260,260,0000260.bin,14805993.029092086
261,261,0000261.bin,9847993.51480143
262,262,0000262.bin,12621498.054102555
263,263,0000263.bin,12745632.931640664
264,264,0000264.bin,10981539.67355941
265,265,0000265.bin,13658659.900439054
266,266,0000266.bin,11156337.03528876
267,267,0000267.bin,13268229.359289216
268,268,0000268.bin,8423408.8900507
269,269,0000269.bin,17960062.055171225
270,270,0000270.bin,12981554.238531794
271,271,0000271.bin,12865752.651434235
272,272,0000272.bin,11492478.76032817
273,273,0000273.bin,8448582.888915913
274,274,0000274.bin,18818035.108799748
275,275,0000275.bin,17473720.768300932
276,276,0000276.bin,25880581.357269343
277,277,0000277.bin,15766014.05599152
278,278,0000278.bin,13715064.198456801
279,279,0000279.bin,12635771.627826573
280,280,0000280.bin,13231298.853723269
281,281,0000281.bin,15725056.742481897
282,282,0000282.bin,8221525.4455355685
283,283,0000283.bin,12198493.21082423
284,284,0000284.bin,11152560.220747156
285,285,0000285.bin,18541054.20198845
286,286,0000286.bin,33422781.263398103
287,287,0000287.bin,11000338.795127295
288,288,0000288.bin,20874410.21419329
289,289,0000289.bin,9664236.73468442
290,290,0000290.bin,11695308.09450558
291,291,0000291.bin,18017628.25246198
292,292,0000292.bin,16470147.762222806
293,293,0000293.bin,15614333.184834668
294,294,0000294.bin,16337760.521952871
295,295,0000295.bin,14216604.487027803
296,296,0000296.bin,16292443.329644578
297,297,0000297.bin,15738106.906215033
298,298,0000298.bin,14395353.970162267
299,299,0000299.bin,28908796.755222645
300,300,0000300.bin,10300478.284671219
301,301,0000301.bin,9906041.462117337
302,302,0000302.bin,11289623.559933156
303,303,0000303.bin,21544461.05582614
304,304,0000304.bin,36457671.011297695
305,305,0000305.bin,22709058.669759225
306,306,0000306.bin,16605725.978027716
307,307,0000307.bin,14145672.460659496
308,308,0000308.bin,24887625.565549064
309,309,0000309.bin,15600616.185480673
310,310,0000310.bin,18999333.557868347
311,311,0000311.bin,14926454.349350417
312,312,0000312.bin,23764180.614879023
313,313,0000313.bin,9107471.037686367
314,314,0000314.bin,27279877.07657995
315,315,0000315.bin,13143369.46492126
316,316,0000316.bin,15288381.292164437
317,317,0000317.bin,13037466.246750766
318,318,0000318.bin,9661635.897625068
319,319,0000319.bin,19338055.801906165
320,320,0000320.bin,10876368.892279461
321,321,0000321.bin,15031773.808914462
322,322,0000322.bin,16183220.35962913
323,323,0000323.bin,17890230.972128008
324,324,0000324.bin,12891738.69688635
325,325,0000325.bin,10525703.044896869
326,326,0000326.bin,13449860.532923616
327,327,0000327.bin,15490634.427375305
328,328,0000328.bin,16680450.62948039
329,329,0000329.bin,26156497.796967603
330,330,0000330.bin,22071350.998189192
331,331,0000331.bin,8459090.674179262
332,332,0000332.bin,21761586.501314282
333,333,0000333.bin,32956790.51576975
334,334,0000334.bin,10141920.884210972
335,335,0000335.bin,9821805.809962112
336,336,0000336.bin,11061490.618431574
337,337,0000337.bin,14159931.05511451
338,338,0000338.bin,12088299.044195158
339,339,0000339.bin,10878469.04906343
340,340,0000340.bin,47887811.14823092
341,341,0000341.bin,39690019.24710088
342,342,0000342.bin,23594153.73255031
343,343,0000343.bin,23391490.344357044
344,344,0000344.bin,12660446.19377388
345,345,0000345.bin,11662653.62791817
346,346,0000346.bin,30477155.025536582
347,347,0000347.bin,30533384.154496226
348,348,0000348.bin,45214016.924697444
349,349,0000349.bin,14540108.520405142
350,350,0000350.bin,11395817.75568728
351,351,0000351.bin,20940910.172149427
352,352,0000352.bin,15438647.911980871
353,353,0000353.bin,10946579.577625534
354,354,0000354.bin,17402174.124164563
355,355,0000355.bin,15117709.280528976
356,356,0000356.bin,44239727.421688475
357,357,0000357.bin,20853549.146162458
358,358,0000358.bin,20838436.272710852
359,359,0000359.bin,19136109.87177925
360,360,0000360.bin,9896468.743541311
361,361,0000361.bin,12320404.14866185
362,362,0000362.bin,11964782.73673392
363,363,0000363.bin,17756517.41266731
364,364,0000364.bin,15275893.458554275
365,365,0000365.bin,21349382.501717098
366,366,0000366.bin,9683821.273810484
367,367,0000367.bin,27717499.59096484
368,368,0000368.bin,13735365.571085362
369,369,0000369.bin,21998191.35675304
370,370,0000370.bin,10462674.222470697
371,371,0000371.bin,26766790.74813165
372,372,0000372.bin,19785450.059091408
373,373,0000373.bin,21139693.69701356
374,374,0000374.bin,27531014.79201288
375,375,0000375.bin,10540501.779507766
376,376,0000376.bin,14866543.410891548
377,377,0000377.bin,14040708.747791676
378,378,0000378.bin,19052024.078122273
379,379,0000379.bin,13061798.518321313
380,380,0000380.bin,8591704.261606941
381,381,0000381.bin,11467618.692705961
382,382,0000382.bin,10619278.688597027
383,383,0000383.bin,14399608.165019458
384,384,0000384.bin,21882111.20420407
385,385,0000385.bin,27647647.08032137
386,386,0000386.bin,10218248.477729797
387,387,0000387.bin,13154105.192313122
388,388,0000388.bin,10316472.897860883
389,389,0000389.bin,13039546.778057724
390,390,0000390.bin,13913656.257860463
391,391,0000391.bin,9397617.986548174
392,392,0000392.bin,18941315.9851703
393,393,0000393.bin,14204280.657264123
394,394,0000394.bin,48228187.61455748
395,395,0000395.bin,12385428.13739192
396,396,0000396.bin,14969042.690671362
397,397,0000397.bin,18715398.45376325
398,398,0000398.bin,17215367.34978239
399,399,0000399.bin,8240785.997224388
400,400,0000400.bin,14165483.068670187
401,401,0000401.bin,80411237.7452302
402,402,0000402.bin,11022961.74722967
403,403,0000403.bin,13169472.081705969
404,404,0000404.bin,16001277.265792016
