Unnamed: 0,runstring,t
0,0000000.bin,8765361.914469242
1,0000001.bin,8813326.961153446
2,0000002.bin,33198173.755216982
3,0000003.bin,13114277.878724933
4,0000004.bin,9301692.885672167
5,0000005.bin,11196761.421556538
6,0000006.bin,11199399.289601639
7,0000007.bin,8846295.150949445
8,0000008.bin,11039202.678452427
9,0000009.bin,11128531.547806257
10,0000010.bin,11225768.33533077
11,0000011.bin,11118310.370853737
12,0000012.bin,8825955.22170856
13,0000013.bin,11057441.480499588
14,0000014.bin,11038436.7476793
15,0000015.bin,15386296.357471118
16,0000016.bin,11215477.118937088
17,0000017.bin,11106782.915379353
18,0000018.bin,8822928.458491266
19,0000019.bin,8700232.727219675
20,0000020.bin,8790200.554044876
21,0000021.bin,8728307.5561994
22,0000022.bin,11120269.684617598
23,0000023.bin,8815602.910673007
24,0000024.bin,11127691.762210207
25,0000025.bin,8739471.150561752
26,0000026.bin,8843376.77618975
27,0000027.bin,11257853.260207644
28,0000028.bin,11245707.303568395
29,0000029.bin,11218723.363128955
30,0000030.bin,11150155.426018544
31,0000031.bin,11045172.226808384
32,0000032.bin,21656089.445126407
33,0000033.bin,11049703.460614646
34,0000034.bin,11061181.19470604
35,0000035.bin,8860024.979388578
36,0000036.bin,8760910.081874238
37,0000037.bin,8898544.627084637
38,0000038.bin,30176377.686503448
39,0000039.bin,8762137.930035315
40,0000040.bin,11206228.941608846
41,0000041.bin,11033477.923846642
42,0000042.bin,11321521.318381071
43,0000043.bin,11994311.690797206
44,0000044.bin,8826325.600496808
45,0000045.bin,8893204.467283702
46,0000046.bin,11122534.67695999
47,0000047.bin,11284959.111656513
48,0000048.bin,8821188.90353723
49,0000049.bin,11065873.936324676
50,0000050.bin,8805380.554832011
51,0000051.bin,8788132.85182568
52,0000052.bin,8802526.533110356
53,0000053.bin,8765922.857223937
54,0000054.bin,8805502.604532165
55,0000055.bin,12041721.896770662
56,0000056.bin,11217321.17850662
57,0000057.bin,11167721.082365297
58,0000058.bin,8810360.321285915
59,0000059.bin,11178465.200229917
60,0000060.bin,8761836.27310869
61,0000061.bin,8800121.737941405
62,0000062.bin,8846202.296092479
63,0000063.bin,11261331.260579137
64,0000064.bin,8793698.110108227
65,0000065.bin,11088242.664442742
66,0000066.bin,11162275.446658822
67,0000067.bin,8753931.543983683
68,0000068.bin,11094446.464564092
69,0000069.bin,11153403.12693084
70,0000070.bin,11440910.265154343
71,0000071.bin,11162719.610481476
72,0000072.bin,11008293.17628694
73,0000073.bin,8873770.688160041
74,0000074.bin,8789829.203965886
75,0000075.bin,8753145.64100052
76,0000076.bin,8777023.06984452
77,0000077.bin,11092978.261706507
78,0000078.bin,11180890.522383442
79,0000079.bin,11136753.120721195
80,0000080.bin,8768476.886330627
81,0000081.bin,10973909.071279729
82,0000082.bin,8704816.872343997
83,0000083.bin,8762563.300980985
84,0000084.bin,8702396.058152683
85,0000085.bin,11181994.864126148
86,0000086.bin,16335983.797316862
87,0000087.bin,8870315.156028166
88,0000088.bin,8868258.826622069
89,0000089.bin,11228808.898923334
90,0000090.bin,8897242.093712965
91,0000091.bin,8774027.443173354
92,0000092.bin,8811424.996438198
93,0000093.bin,9432077.193717921
94,0000094.bin,8776614.272693248
95,0000095.bin,23223352.597213794
96,0000096.bin,11231726.6495666
97,0000097.bin,8803736.073376136
98,0000098.bin,11099647.237617033
99,0000099.bin,8749459.46267402
100,0000100.bin,11129092.490998194
101,0000101.bin,8830586.383704029
102,0000102.bin,11213511.425299954
103,0000103.bin,8787943.120020052
104,0000104.bin,39796590.81462484
105,0000105.bin,8807322.254607677
106,0000106.bin,8860052.163188139
107,0000107.bin,8687955.082168803
108,0000108.bin,8819065.030716913
109,0000109.bin,11254703.129710862
110,0000110.bin,14106777.301655823
111,0000111.bin,19160741.096652202
112,0000112.bin,11093403.078319862
113,0000113.bin,11250131.882579692
114,0000114.bin,11119582.184205534
115,0000115.bin,11149283.464130333
116,0000116.bin,8760719.449005306
117,0000117.bin,11254726.222069412
118,0000118.bin,11086768.428446526
119,0000119.bin,8817700.292719128
120,0000120.bin,8773852.13541967
121,0000121.bin,8766234.77786671
122,0000122.bin,10975802.089866282
123,0000123.bin,8789705.420602579
124,0000124.bin,9319077.409609463
125,0000125.bin,8785612.386828007
126,0000126.bin,8812988.481277596
127,0000127.bin,8768317.528256394
128,0000128.bin,8873336.440434748
129,0000129.bin,8876466.807641525
130,0000130.bin,8779550.746871153
131,0000131.bin,8762111.925127476
132,0000132.bin,11029841.327768078
133,0000133.bin,11204286.132293044
134,0000134.bin,11140468.077371242
135,0000135.bin,8896632.9547524
136,0000136.bin,8819159.064463543
137,0000137.bin,11044150.476205865
138,0000138.bin,8761863.525809228
