Unnamed: 0,runstring,t
188,0000188.bin,446441261.6922375
189,0000189.bin,359801428.4410904
190,0000190.bin,182849876.41627073
191,0000191.bin,18948613.308994096
192,0000192.bin,67383772.16670275
193,0000193.bin,24644381.27665741
194,0000194.bin,24168647.148475707
195,0000195.bin,37827959.738072544
196,0000196.bin,19440512.434076555
197,0000197.bin,9154438.119589515
198,0000198.bin,25416550.964045294
199,0000199.bin,73958259.98602296
