Unnamed: 0,runstring,t
169,0000169.bin,7125038.667441997
170,0000170.bin,7193344.057613511
171,0000171.bin,7193459.658089987
172,0000172.bin,7202581.139264273
173,0000173.bin,8948215.73484857
174,0000174.bin,8924757.851848233
175,0000175.bin,7134662.840361403
176,0000176.bin,7190455.016465511
177,0000177.bin,7196423.732060996
178,0000178.bin,7133278.824979672
179,0000179.bin,7197692.97911932
180,0000180.bin,7194763.024027815
181,0000181.bin,8908611.578038774
182,0000182.bin,7197673.492776147
183,0000183.bin,7183211.227829852
184,0000184.bin,7191625.237281983
185,0000185.bin,7199694.733282718
186,0000186.bin,7199812.275459231
187,0000187.bin,7188928.563099151
188,0000188.bin,7191281.07100372
189,0000189.bin,7208347.224622388
190,0000190.bin,7135401.865144517
191,0000191.bin,7191995.755193415
192,0000192.bin,7247376.636807497
193,0000193.bin,7200704.486481598
194,0000194.bin,7184538.379588576
195,0000195.bin,7196903.400797545
196,0000196.bin,7200771.613814
197,0000197.bin,9217645.648184555
198,0000198.bin,7198870.6897873795
199,0000199.bin,7188902.00342006
