Unnamed: 0,runstring,t
0,0000000.bin,7207534.761981419
1,0000001.bin,7242617.877964519
2,0000002.bin,7199156.605071922
3,0000003.bin,7171202.508960604
4,0000004.bin,7187983.579011254
5,0000005.bin,7197054.645779552
6,0000006.bin,9089886.033247977
7,0000007.bin,7201717.498967026
8,0000008.bin,7198867.4300652575
9,0000009.bin,7190575.19381152
10,0000010.bin,8951957.181828659
11,0000011.bin,7181029.1045186585
12,0000012.bin,8944592.037647024
13,0000013.bin,7190013.62607012
14,0000014.bin,8809945.074919954
15,0000015.bin,7185825.518464804
16,0000016.bin,7199341.69066512
17,0000017.bin,8878157.404028505
18,0000018.bin,7191996.171271764
19,0000019.bin,7187915.550618637
20,0000020.bin,7192270.505703885
21,0000021.bin,7127990.952524589
22,0000022.bin,8823405.97794533
23,0000023.bin,7194250.415301936
24,0000024.bin,7205948.808946993
25,0000025.bin,7196251.475116249
26,0000026.bin,9041205.748026585
27,0000027.bin,7178604.40699018
28,0000028.bin,7195525.487460083
29,0000029.bin,8896805.280166969
30,0000030.bin,9081119.744637834
31,0000031.bin,7199712.069886755
32,0000032.bin,7195363.910304561
33,0000033.bin,7190314.728662557
34,0000034.bin,7183022.814054137
35,0000035.bin,7186972.508669462
36,0000036.bin,9015655.821773488
37,0000037.bin,7192497.406744654
38,0000038.bin,7175852.810446421
39,0000039.bin,7249685.24886955
40,0000040.bin,8877970.584769964
41,0000041.bin,9007365.249610223
42,0000042.bin,7191980.360289127
43,0000043.bin,7209510.302757667
44,0000044.bin,7183423.2198315235
45,0000045.bin,8967114.783720791
46,0000046.bin,7187920.751156643
47,0000047.bin,7180998.106670016
48,0000048.bin,7194371.286112334
49,0000049.bin,8934646.096637374
50,0000050.bin,9120784.648909964
51,0000051.bin,7196526.01802782
52,0000052.bin,7186845.74297532
53,0000053.bin,7199479.897634401
54,0000054.bin,7184632.89919871
55,0000055.bin,17548943.25770856
56,0000056.bin,7123426.778847149
57,0000057.bin,9078510.58557099
58,0000058.bin,7203291.107895576
59,0000059.bin,7187920.4044239465
60,0000060.bin,8894094.737073047
61,0000061.bin,7201088.803892448
62,0000062.bin,8988094.642173754
63,0000063.bin,7204233.040298832
64,0000064.bin,8905254.587170595
65,0000065.bin,7203820.567803514
66,0000066.bin,9094941.734475628
67,0000067.bin,7195475.974557488
68,0000068.bin,7188041.622407126
69,0000069.bin,7204597.802463098
70,0000070.bin,7197985.412966585
71,0000071.bin,7200381.817597804
72,0000072.bin,7199602.086467493
73,0000073.bin,7126964.278793812
74,0000074.bin,7192760.5075003505
75,0000075.bin,7208169.628443731
76,0000076.bin,7205979.737893015
77,0000077.bin,7128300.445146706
78,0000078.bin,7255110.496585816
79,0000079.bin,7183166.846562839
80,0000080.bin,7198069.04518879
81,0000081.bin,9558657.295389455
82,0000082.bin,7200761.350546664
83,0000083.bin,7196113.8922647545
84,0000084.bin,11126990.739689862
85,0000085.bin,8912756.55228244
86,0000086.bin,7240781.515455425
87,0000087.bin,7194090.710499286
88,0000088.bin,7209792.612024592
89,0000089.bin,7203293.257634352
90,0000090.bin,7189566.342113464
91,0000091.bin,8918034.577693215
92,0000092.bin,7201305.095372031
93,0000093.bin,7190133.318428918
94,0000094.bin,7249973.591277893
95,0000095.bin,7184912.920038968
96,0000096.bin,9088910.052169392
97,0000097.bin,7189099.640272793
98,0000098.bin,7199966.986878848
99,0000099.bin,7187313.693048338
100,0000100.bin,7198501.489454773
101,0000101.bin,8932031.320505284
102,0000102.bin,7123465.5439360915
103,0000103.bin,7187003.090440177
104,0000104.bin,7182889.3221981535
105,0000105.bin,7198014.885638489
106,0000106.bin,7250997.005727082
107,0000107.bin,7193999.034537064
108,0000108.bin,14611640.532005424
109,0000109.bin,7195863.89842311
110,0000110.bin,7188443.276864206
111,0000111.bin,7184334.501558804
112,0000112.bin,7251331.047422927
113,0000113.bin,8977167.86494998
114,0000114.bin,7195511.618619663
115,0000115.bin,7208712.264171888
116,0000116.bin,7189278.762513142
117,0000117.bin,7204469.788972432
118,0000118.bin,7188005.631172401
119,0000119.bin,7188083.160468885
120,0000120.bin,7122317.097897453
121,0000121.bin,7128802.860393478
122,0000122.bin,7172833.467382767
123,0000123.bin,8809421.509444784
124,0000124.bin,7200809.685001068
125,0000125.bin,7183970.294168786
126,0000126.bin,7190145.454055268
127,0000127.bin,7197272.462878283
128,0000128.bin,8951580.21468684
129,0000129.bin,7119701.212295027
130,0000130.bin,7195398.375918089
131,0000131.bin,7197101.315916572
132,0000132.bin,7240045.888203974
133,0000133.bin,8952555.572531773
134,0000134.bin,7123357.709814861
135,0000135.bin,7205901.307091025
136,0000136.bin,7122318.276789756
137,0000137.bin,7193544.1909334855
138,0000138.bin,7185872.674029623
139,0000139.bin,7210501.956541128
140,0000140.bin,7120063.68558479
141,0000141.bin,7194980.35526279
142,0000142.bin,7208538.758989471
143,0000143.bin,7190315.629723182
144,0000144.bin,7180377.31753068
145,0000145.bin,8944042.189878546
146,0000146.bin,7191499.789608001
147,0000147.bin,7196747.8572217515
148,0000148.bin,7190545.097462622
149,0000149.bin,7210458.337202864
150,0000150.bin,7202492.236712107
151,0000151.bin,7204454.809705228
152,0000152.bin,7190702.02796699
153,0000153.bin,7201414.524464094
154,0000154.bin,7201666.460000313
155,0000155.bin,7198389.633681401
156,0000156.bin,7203654.067052284
157,0000157.bin,7202839.5929230675
158,0000158.bin,7207902.85277443
159,0000159.bin,7206739.704851789
160,0000160.bin,7189393.94647335
161,0000161.bin,7187500.442512869
162,0000162.bin,7196673.03243781
163,0000163.bin,7202521.917419571
164,0000164.bin,7190636.565389417
165,0000165.bin,7189727.502746838
166,0000166.bin,8996055.819281837
167,0000167.bin,8925790.696993686
168,0000168.bin,9317515.450831775
