Unnamed: 0,runstring,t
0,0000000.bin,6630395888.199224
1,0000001.bin,14172612801.620708
2,0000002.bin,13828643201.756313
3,0000003.bin,9768600642.270983
4,0000004.bin,1647125567.3491237
5,0000005.bin,5809843539.470257
6,0000006.bin,
7,0000007.bin,4104468862.338409
8,0000008.bin,
9,0000009.bin,9423283364.532167
10,0000010.bin,
11,0000011.bin,19217460.365668844
12,0000012.bin,19612570976.16135
13,0000013.bin,
14,0000014.bin,
15,0000015.bin,18215630678.936398
16,0000016.bin,
17,0000017.bin,49238658.816595085
18,0000018.bin,
19,0000019.bin,5193539368.405626
20,0000020.bin,307397009.7543327
21,0000021.bin,17124893926.045527
22,0000022.bin,18528772211.03298
23,0000023.bin,6800197710.995782
24,0000024.bin,10511792492.345514
25,0000025.bin,
26,0000026.bin,13255918111.286983
27,0000027.bin,4641798127.186446
28,0000028.bin,16884315034.060581
29,0000029.bin,279887825.9608905
30,0000030.bin,
31,0000031.bin,388617522.7818678
32,0000032.bin,542449235.9263579
33,0000033.bin,
34,0000034.bin,
35,0000035.bin,
36,0000036.bin,
37,0000037.bin,21303656975.846394
38,0000038.bin,27825799.837505203
39,0000039.bin,925936907.297515
40,0000040.bin,10885797724.023445
41,0000041.bin,
42,0000042.bin,24040312.166731834
43,0000043.bin,502116340.15910304
44,0000044.bin,
45,0000045.bin,9850553.091631636
46,0000046.bin,
47,0000047.bin,458572942.4992672
48,0000048.bin,18826841820.188705
49,0000049.bin,218521515.90401158
50,0000050.bin,418996314.1190907
51,0000051.bin,
52,0000052.bin,16485447005.282616
53,0000053.bin,12836245.680181688
54,0000054.bin,18142964236.897068
55,0000055.bin,
56,0000056.bin,139411480.41352746
57,0000057.bin,16246647.715933565
58,0000058.bin,14070496222.545588
59,0000059.bin,10492118078.196733
60,0000060.bin,10896113213.192627
61,0000061.bin,16363180693.246887
62,0000062.bin,3720256687.5043244
63,0000063.bin,10125854565.317213
64,0000064.bin,11642838958.746195
65,0000065.bin,
66,0000066.bin,
67,0000067.bin,20439806361.643906
68,0000068.bin,
69,0000069.bin,
70,0000070.bin,
71,0000071.bin,
72,0000072.bin,3329834546.5687957
73,0000073.bin,3802594585.974554
74,0000074.bin,9351410.178148901
75,0000075.bin,
76,0000076.bin,
77,0000077.bin,551383278.741877
78,0000078.bin,11974414139.79408
79,0000079.bin,
80,0000080.bin,117181427.56128277
81,0000081.bin,230151126.21558347
82,0000082.bin,23018447236.897038
83,0000083.bin,
84,0000084.bin,229284702.23623717
85,0000085.bin,18578223696.210014
86,0000086.bin,
87,0000087.bin,
88,0000088.bin,16741414363.625761
89,0000089.bin,4606856805.057372
90,0000090.bin,23531717546.73483
91,0000091.bin,6923105059.871294
92,0000092.bin,15221388756.172197
93,0000093.bin,2732196114.1230145
94,0000094.bin,
95,0000095.bin,529619497.4016706
96,0000096.bin,
97,0000097.bin,
98,0000098.bin,466957699.9571463
99,0000099.bin,11493749067.513659
100,0000100.bin,51733252.40843561
101,0000101.bin,13033501168.167408
102,0000102.bin,21815488750.54631
103,0000103.bin,7308586063.379519
104,0000104.bin,10513600.083479252
105,0000105.bin,178558748.58223414
106,0000106.bin,9995420283.728231
107,0000107.bin,2812138594.674446
108,0000108.bin,
109,0000109.bin,
110,0000110.bin,
111,0000111.bin,7419203851.074305
112,0000112.bin,43259311.509825535
113,0000113.bin,34224438.710443445
114,0000114.bin,
115,0000115.bin,315645441.496252
116,0000116.bin,
117,0000117.bin,679215535.9992883
118,0000118.bin,150352213.7814689
119,0000119.bin,10550026873.685877
120,0000120.bin,
121,0000121.bin,
122,0000122.bin,
123,0000123.bin,5173477684.914238
124,0000124.bin,11551805037.494019
125,0000125.bin,2082105164.5850177
126,0000126.bin,8411203959.690447
127,0000127.bin,105223590.13506855
128,0000128.bin,
129,0000129.bin,95203981.76313323
130,0000130.bin,23328928.569185197
131,0000131.bin,4640766751.531954
132,0000132.bin,18866979541.71609
133,0000133.bin,20183405860.189068
134,0000134.bin,18079444137.13351
135,0000135.bin,
136,0000136.bin,
137,0000137.bin,156933569.8092628
138,0000138.bin,12726668531.143799
139,0000139.bin,15074375.881266251
140,0000140.bin,222095926.0759684
141,0000141.bin,691717548.6453127
142,0000142.bin,132080045.89083895
143,0000143.bin,7330413424.387731
144,0000144.bin,11356969467.36098
145,0000145.bin,387326371.487665
146,0000146.bin,19891814441.885136
147,0000147.bin,1835083482.8942885
148,0000148.bin,47357811.6310627
149,0000149.bin,277652545.9349125
150,0000150.bin,10988315145.319078
151,0000151.bin,
152,0000152.bin,411536424.4924236
153,0000153.bin,14400333851.411514
154,0000154.bin,3967086429.725184
155,0000155.bin,64156859.244121745
156,0000156.bin,8358424654.560393
157,0000157.bin,13411566.60738491
158,0000158.bin,178373810.04989603
159,0000159.bin,17546000937.902172
160,0000160.bin,
161,0000161.bin,1281636536.9388986
162,0000162.bin,6035348785.747912
163,0000163.bin,30889213.81372924
164,0000164.bin,18339463483.171627
165,0000165.bin,6615302618.9011545
166,0000166.bin,7754999327.954501
167,0000167.bin,
168,0000168.bin,1913826578.8347902
169,0000169.bin,
170,0000170.bin,71669670.86399043
171,0000171.bin,1046417754.4469539
172,0000172.bin,
173,0000173.bin,11434822396.42747
174,0000174.bin,235625060.42654008
175,0000175.bin,
176,0000176.bin,161608345.24424234
177,0000177.bin,203884769.17262045
178,0000178.bin,1320414841.5438743
179,0000179.bin,73996351.14673117
180,0000180.bin,1073821750.0418653
181,0000181.bin,10241873.971466586
182,0000182.bin,10421634679.630148
183,0000183.bin,394751665.7764147
184,0000184.bin,16358076571.871405
185,0000185.bin,73858272.7691429
186,0000186.bin,10895409.062002106
187,0000187.bin,
188,0000188.bin,3560837781.1361213
189,0000189.bin,
190,0000190.bin,38664860.54413093
191,0000191.bin,10468991.334641194
192,0000192.bin,8951337522.795277
193,0000193.bin,
194,0000194.bin,10112893956.059397
195,0000195.bin,
196,0000196.bin,10556612581.133753
197,0000197.bin,11327377040.55816
198,0000198.bin,14937516.8370748
199,0000199.bin,251898414.54810065
