Unnamed: 0,runstring,t
0,0000000.bin,
1,0000001.bin,
2,0000002.bin,
3,0000003.bin,
4,0000004.bin,1430603771.8777845
5,0000005.bin,
6,0000006.bin,
7,0000007.bin,
8,0000008.bin,
9,0000009.bin,
10,0000010.bin,
11,0000011.bin,58283453.284232125
12,0000012.bin,
13,0000013.bin,
14,0000014.bin,
15,0000015.bin,11355483166.013372
16,0000016.bin,4940648409.859745
17,0000017.bin,78261942.08932862
18,0000018.bin,
19,0000019.bin,
20,0000020.bin,497145824.3310062
21,0000021.bin,
22,0000022.bin,
23,0000023.bin,5697317771.451579
24,0000024.bin,
25,0000025.bin,
26,0000026.bin,
27,0000027.bin,
28,0000028.bin,
29,0000029.bin,2571228347.103955
30,0000030.bin,
31,0000031.bin,
32,0000032.bin,
33,0000033.bin,9724008765.868227
34,0000034.bin,
35,0000035.bin,
36,0000036.bin,
37,0000037.bin,6520648938.542452
38,0000038.bin,7919914681.688138
39,0000039.bin,3774634874.249915
40,0000040.bin,
41,0000041.bin,
42,0000042.bin,
43,0000043.bin,
44,0000044.bin,
45,0000045.bin,
46,0000046.bin,
47,0000047.bin,
48,0000048.bin,
49,0000049.bin,
50,0000050.bin,5814755624.33529
51,0000051.bin,8500090694.62031
52,0000052.bin,
53,0000053.bin,11195741939.29345
54,0000054.bin,
55,0000055.bin,
56,0000056.bin,
57,0000057.bin,
58,0000058.bin,
59,0000059.bin,11149030423.487572
60,0000060.bin,
61,0000061.bin,
62,0000062.bin,
63,0000063.bin,
64,0000064.bin,
65,0000065.bin,
66,0000066.bin,
67,0000067.bin,
68,0000068.bin,11594213094.879389
69,0000069.bin,
70,0000070.bin,8488105501.474144
71,0000071.bin,
72,0000072.bin,8832671186.734388
73,0000073.bin,
74,0000074.bin,
75,0000075.bin,
76,0000076.bin,
77,0000077.bin,
78,0000078.bin,
79,0000079.bin,
80,0000080.bin,
81,0000081.bin,
82,0000082.bin,
83,0000083.bin,5010177681.369884
84,0000084.bin,
85,0000085.bin,
86,0000086.bin,
87,0000087.bin,
88,0000088.bin,9983861381.444601
89,0000089.bin,
90,0000090.bin,
91,0000091.bin,
92,0000092.bin,
93,0000093.bin,
94,0000094.bin,
95,0000095.bin,
96,0000096.bin,
97,0000097.bin,11608785114.055744
98,0000098.bin,
99,0000099.bin,
100,0000100.bin,
101,0000101.bin,
102,0000102.bin,
103,0000103.bin,
104,0000104.bin,
105,0000105.bin,
106,0000106.bin,
107,0000107.bin,
108,0000108.bin,
109,0000109.bin,
110,0000110.bin,
111,0000111.bin,
112,0000112.bin,
113,0000113.bin,
114,0000114.bin,
115,0000115.bin,4644715816.656823
116,0000116.bin,
117,0000117.bin,
118,0000118.bin,
119,0000119.bin,
120,0000120.bin,
121,0000121.bin,
122,0000122.bin,
123,0000123.bin,
124,0000124.bin,
125,0000125.bin,
126,0000126.bin,
127,0000127.bin,
128,0000128.bin,
129,0000129.bin,5443929349.06864
130,0000130.bin,
131,0000131.bin,
132,0000132.bin,
133,0000133.bin,
134,0000134.bin,8019911082.444731
135,0000135.bin,
136,0000136.bin,
137,0000137.bin,
138,0000138.bin,
139,0000139.bin,
140,0000140.bin,
141,0000141.bin,
142,0000142.bin,6486787902.054962
143,0000143.bin,
144,0000144.bin,8118477441.456475
145,0000145.bin,
146,0000146.bin,
147,0000147.bin,
148,0000148.bin,
149,0000149.bin,
150,0000150.bin,
151,0000151.bin,
152,0000152.bin,10660855219.653446
153,0000153.bin,
154,0000154.bin,
155,0000155.bin,9790451629.607077
156,0000156.bin,
157,0000157.bin,5912748992.718409
158,0000158.bin,
159,0000159.bin,
160,0000160.bin,
161,0000161.bin,
162,0000162.bin,
163,0000163.bin,
164,0000164.bin,
165,0000165.bin,
166,0000166.bin,11345868592.327627
167,0000167.bin,5524644476.8332615
168,0000168.bin,
169,0000169.bin,9487382569.225546
170,0000170.bin,
171,0000171.bin,
172,0000172.bin,
173,0000173.bin,
174,0000174.bin,
175,0000175.bin,
176,0000176.bin,
177,0000177.bin,7581192271.932578
178,0000178.bin,
179,0000179.bin,
180,0000180.bin,
181,0000181.bin,
182,0000182.bin,6411483972.85907
183,0000183.bin,11427213453.038433
184,0000184.bin,10867480221.976637
185,0000185.bin,
186,0000186.bin,
187,0000187.bin,6302449279.376006
188,0000188.bin,
189,0000189.bin,
190,0000190.bin,
191,0000191.bin,11730872058.326607
192,0000192.bin,
193,0000193.bin,
194,0000194.bin,
195,0000195.bin,
196,0000196.bin,
197,0000197.bin,
198,0000198.bin,
199,0000199.bin,
