Unnamed: 0,runstring,t
0,0000000.bin,8104521.255514524
1,0000001.bin,8183527.768923791
2,0000002.bin,9235910.247541053
3,0000003.bin,8055975.849941964
4,0000004.bin,9197476.865909055
5,0000005.bin,8816367.316267913
6,0000006.bin,8106759.272041638
7,0000007.bin,9009890.846244272
8,0000008.bin,8237546.825568526
9,0000009.bin,8085233.381339994
10,0000010.bin,8015676.426565307
11,0000011.bin,17778496.34455517
12,0000012.bin,15384208.822619276
13,0000013.bin,8232852.62780053
14,0000014.bin,8701943.017985031
15,0000015.bin,8153156.810990807
16,0000016.bin,8033993.451325466
17,0000017.bin,8144150.237278193
18,0000018.bin,8232288.633818188
19,0000019.bin,8063160.069566007
20,0000020.bin,8019533.960233295
21,0000021.bin,8039884.1522008665
22,0000022.bin,8248606.816968362
23,0000023.bin,12923799.97419013
24,0000024.bin,160302521.42433813
25,0000025.bin,8181854.300708939
26,0000026.bin,8184246.059129496
27,0000027.bin,9572546.759291148
28,0000028.bin,8074141.976012083
29,0000029.bin,8073158.505103236
30,0000030.bin,8039375.912295571
31,0000031.bin,8096693.639824146
32,0000032.bin,9177418.55248236
33,0000033.bin,8156152.091292571
34,0000034.bin,8150520.329945564
35,0000035.bin,16974879.30371837
36,0000036.bin,10566210.230792055
37,0000037.bin,8189151.485645373
38,0000038.bin,8098775.627348122
39,0000039.bin,8037894.048676579
40,0000040.bin,8088314.095983872
41,0000041.bin,8146530.27571123
42,0000042.bin,8148138.904581708
43,0000043.bin,7996920.647900889
44,0000044.bin,8124991.208303349
45,0000045.bin,8196880.282691614
46,0000046.bin,8191393.455359463
47,0000047.bin,8012244.403405545
48,0000048.bin,8417844.186540486
49,0000049.bin,16034280.406183973
50,0000050.bin,12156386.20301009
51,0000051.bin,8279963.603144417
52,0000052.bin,8320814.329668372
53,0000053.bin,8186764.443224663
54,0000054.bin,8000368.898563535
55,0000055.bin,8122197.310887718
56,0000056.bin,8143909.32737657
57,0000057.bin,8034407.033366545
58,0000058.bin,7998730.173345541
59,0000059.bin,8139785.365208642
60,0000060.bin,8110971.651336242
61,0000061.bin,8030992.970042308
62,0000062.bin,8072699.224216522
63,0000063.bin,8481122.309788374
64,0000064.bin,12795317.492166817
65,0000065.bin,8471533.5028473
66,0000066.bin,13300880.289208973
67,0000067.bin,9092471.684322007
68,0000068.bin,7819249.853108448
69,0000069.bin,8181633.918233514
70,0000070.bin,8120640.968770977
71,0000071.bin,10558910.133552372
72,0000072.bin,8223308.341958579
73,0000073.bin,8168737.911495205
74,0000074.bin,10141743.634760259
75,0000075.bin,8136175.121750612
76,0000076.bin,8270289.084287516
77,0000077.bin,7974091.945145218
78,0000078.bin,19081767.65936722
79,0000079.bin,8096377.628192595
80,0000080.bin,8047723.626128491
81,0000081.bin,8049337.733369855
82,0000082.bin,7985334.664358366
83,0000083.bin,8071711.9392541675
84,0000084.bin,8076569.170453122
85,0000085.bin,8038792.570222382
86,0000086.bin,8681354.41248264
87,0000087.bin,8178163.26867263
88,0000088.bin,8159241.058160188
89,0000089.bin,8131299.028326907
90,0000090.bin,8122793.482048415
91,0000091.bin,8099583.998551725
92,0000092.bin,8190916.768077808
93,0000093.bin,8221761.916820602
94,0000094.bin,8050651.639960571
95,0000095.bin,8360938.792033549
96,0000096.bin,8141153.085066276
97,0000097.bin,8031832.477785922
98,0000098.bin,8117300.898519557
99,0000099.bin,8076092.205782605
100,0000100.bin,8187474.967070143
101,0000101.bin,8169098.096794037
102,0000102.bin,7978252.800048785
103,0000103.bin,8052133.5729269525
104,0000104.bin,8023213.966632427
105,0000105.bin,8037976.293532214
106,0000106.bin,8140413.366819679
107,0000107.bin,8031035.965265304
108,0000108.bin,8069570.799233353
109,0000109.bin,8111630.164924852
110,0000110.bin,8536149.318549696
111,0000111.bin,8184413.461381552
112,0000112.bin,8259146.293705166
113,0000113.bin,8081661.6242596805
114,0000114.bin,8036881.590967976
115,0000115.bin,7985038.901883178
116,0000116.bin,8206991.615083511
117,0000117.bin,8129320.158925657
118,0000118.bin,31046983.92383896
119,0000119.bin,10217050.240930416
120,0000120.bin,51393584.662447356
121,0000121.bin,8113261.331386363
122,0000122.bin,8171500.534122734
123,0000123.bin,8497408.177941982
124,0000124.bin,8057268.952612737
125,0000125.bin,8048164.738697241
126,0000126.bin,8282733.853878053
127,0000127.bin,8795208.059067264
128,0000128.bin,8273858.968127949
129,0000129.bin,8032941.327459853
130,0000130.bin,8039098.942702849
131,0000131.bin,15601157.920157649
132,0000132.bin,8055010.61670108
133,0000133.bin,8339600.829680665
134,0000134.bin,8085714.645041545
135,0000135.bin,8149438.6645047935
136,0000136.bin,8287596.494096961
137,0000137.bin,8049326.082728219
138,0000138.bin,21882865.415873222
139,0000139.bin,8151326.89813761
140,0000140.bin,8177647.400224505
141,0000141.bin,8164556.807437524
142,0000142.bin,8620659.096218754
143,0000143.bin,15923282.860827863
144,0000144.bin,8082963.8810981745
145,0000145.bin,8038833.7619975
146,0000146.bin,8068513.613079638
147,0000147.bin,8071880.867128006
148,0000148.bin,8002237.992583562
149,0000149.bin,8201172.895350129
150,0000150.bin,10624978.68697313
151,0000151.bin,7856537.699334775
152,0000152.bin,10316083.65595945
153,0000153.bin,8202033.900927032
154,0000154.bin,8077326.710727214
155,0000155.bin,8278320.925180529
156,0000156.bin,8103596.035599884
157,0000157.bin,8083404.161066491
158,0000158.bin,8056575.1416946035
159,0000159.bin,8161497.174102889
160,0000160.bin,8003415.216945346
161,0000161.bin,8009309.93991189
162,0000162.bin,8138155.1006969875
163,0000163.bin,8279633.1674597375
164,0000164.bin,9483393.822251515
165,0000165.bin,8097562.758045646
166,0000166.bin,8245521.664150916
167,0000167.bin,8113255.852575739
168,0000168.bin,7898929.165467843
169,0000169.bin,8040022.151570533
170,0000170.bin,27653136.82035118
171,0000171.bin,8006975.462516771
172,0000172.bin,8047608.094997683
173,0000173.bin,8059244.424039519
174,0000174.bin,8145354.992606681
175,0000175.bin,8138530.26437892
176,0000176.bin,8122168.601469717
177,0000177.bin,8923746.295612846
178,0000178.bin,65668614.79258424
179,0000179.bin,8485071.657339413
180,0000180.bin,7996843.534680346
181,0000181.bin,13531634.039977446
182,0000182.bin,9789500.294562511
183,0000183.bin,8063031.431515985
184,0000184.bin,8056308.2273295075
185,0000185.bin,8044449.365630262
186,0000186.bin,8036322.658831007
187,0000187.bin,8057754.793619021
188,0000188.bin,8087697.259590223
189,0000189.bin,8074730.866239761
190,0000190.bin,8220118.47560585
191,0000191.bin,8081509.409311307
192,0000192.bin,8033955.726430905
