Unnamed: 0,runstring,t
0,0000000.bin,8822241.720889546
1,0000001.bin,8789253.21259552
2,0000002.bin,9035250.000049395
3,0000003.bin,9169787.950200327
4,0000004.bin,8587740.627808327
5,0000005.bin,8486975.494410424
6,0000006.bin,8728751.78892523
7,0000007.bin,8961658.60780261
8,0000008.bin,8729656.34363381
9,0000009.bin,8751193.469921181
10,0000010.bin,8759246.045168702
11,0000011.bin,12336742.373362511
12,0000012.bin,10800371.526415313
13,0000013.bin,8683824.670229614
14,0000014.bin,9149733.520173103
15,0000015.bin,8688953.184755111
16,0000016.bin,32624083.86567006
17,0000017.bin,9049409.498914242
18,0000018.bin,16510716.45838952
19,0000019.bin,9852837.640100244
20,0000020.bin,8596765.995526608
21,0000021.bin,8780508.2128987
22,0000022.bin,8398173.45025662
23,0000023.bin,8872824.802985474
24,0000024.bin,33092823.78234483
25,0000025.bin,8735923.179651404
26,0000026.bin,9241806.14955738
27,0000027.bin,8914180.23429527
28,0000028.bin,10797611.607783848
29,0000029.bin,8974954.95132646
30,0000030.bin,8804184.537117587
31,0000031.bin,9056620.347753659
32,0000032.bin,10570215.402652368
33,0000033.bin,8752835.38511789
34,0000034.bin,8727032.067487754
35,0000035.bin,8573877.030562883
36,0000036.bin,8650178.688522581
37,0000037.bin,8738266.880623471
38,0000038.bin,8562944.77541569
39,0000039.bin,8779365.93865759
40,0000040.bin,8709015.590062194
41,0000041.bin,8705219.150929237
42,0000042.bin,8789669.845889725
43,0000043.bin,8697584.248729194
44,0000044.bin,8706095.481201697
45,0000045.bin,8483197.01555492
46,0000046.bin,8776701.5793965
47,0000047.bin,8784870.934902983
48,0000048.bin,8716163.888432952
49,0000049.bin,8832841.73733884
50,0000050.bin,8889728.270359993
51,0000051.bin,40337503.37680372
52,0000052.bin,8798682.036906091
53,0000053.bin,8529975.614331277
54,0000054.bin,8812793.132408692
55,0000055.bin,9650852.94532409
56,0000056.bin,8900803.517384887
57,0000057.bin,8737760.166773124
58,0000058.bin,28413708.45760693
59,0000059.bin,8850037.152700152
60,0000060.bin,8841721.962558148
61,0000061.bin,8732971.726649953
62,0000062.bin,8752140.81137115
63,0000063.bin,9430074.399748458
64,0000064.bin,8823042.741392994
65,0000065.bin,8736287.387494726
66,0000066.bin,8745758.99898825
67,0000067.bin,8847147.279760972
68,0000068.bin,8975330.80936838
69,0000069.bin,8515502.392704919
70,0000070.bin,10355526.02756768
71,0000071.bin,8812140.929326175
72,0000072.bin,8464302.543546442
73,0000073.bin,8862079.089708583
74,0000074.bin,9025487.272285199
75,0000075.bin,8850690.743153978
76,0000076.bin,8669784.794384591
77,0000077.bin,8669825.361597253
78,0000078.bin,29095606.65019447
79,0000079.bin,8809173.942724366
80,0000080.bin,11361599.180586241
81,0000081.bin,8772818.52702515
82,0000082.bin,8716559.787146598
83,0000083.bin,8560234.439920053
84,0000084.bin,8814699.881588427
85,0000085.bin,8693651.613221416
86,0000086.bin,8699772.891105069
87,0000087.bin,8919220.817558989
88,0000088.bin,9311770.30793523
89,0000089.bin,9057478.99512991
90,0000090.bin,9074728.085066574
91,0000091.bin,8859032.077342419
92,0000092.bin,8738656.399467684
93,0000093.bin,11250860.991284901
94,0000094.bin,10338386.990843588
95,0000095.bin,8639744.410463432
96,0000096.bin,160577261.01545513
97,0000097.bin,8534693.181969227
98,0000098.bin,8722733.698518062
99,0000099.bin,8709378.4105333
100,0000100.bin,8761496.406299576
101,0000101.bin,8750175.741851635
102,0000102.bin,8737233.272667315
103,0000103.bin,8746167.865480905
104,0000104.bin,8856685.671859944
105,0000105.bin,8695006.850319713
106,0000106.bin,8764476.707415203
107,0000107.bin,8607155.337551167
108,0000108.bin,8704832.33659588
109,0000109.bin,8893451.618367182
110,0000110.bin,8670852.382528352
111,0000111.bin,11917331.269630106
112,0000112.bin,8501422.364837974
113,0000113.bin,14069894.505983526
114,0000114.bin,8794000.529850254
115,0000115.bin,8585734.991079127
116,0000116.bin,8904192.061316207
117,0000117.bin,9144816.026804997
118,0000118.bin,8611947.45214716
119,0000119.bin,8678661.82922572
120,0000120.bin,8830645.25881439
121,0000121.bin,8639371.257375415
122,0000122.bin,8554782.56303627
