,ID,Mean,Mean_Error,Sigma,Error
0,1007.0,6.69039547116,0.00336130870465,0.673699032585,0.0033616926654
1,1021.0,7.00816632186,0.000793518710827,0.491396573301,0.000793519149556
2,1025.0,6.57872055384,0.00441316835714,0.557287957454,0.00441846122389
3,1041.0,6.49616692927,0.0083478415085,0.674804482547,0.00842587381224
4,10518.0,7.03329232962,0.00982129126418,0.599367765754,0.0100977767667
5,1052.0,6.40813757725,0.000661719451546,-0.545939445359,0.000661719468933
6,1107.0,6.31166053651,0.00882320425107,0.601472164646,0.00898722912052
7,1120.0,6.14185530065,0.00142604497975,-0.592595216159,0.00142604973322
8,1124.0,4.40633068062,0.0243520069501,0.896735596547,0.0271288087488
9,1128.0,6.6510630474,0.00653505892104,-0.961487257312,0.00653870037354
10,1136.0,6.21032486303,0.000709616315244,0.474998110695,0.000709616316445
11,1137.0,6.03365480028,0.00877136851159,0.913021966449,0.008798027893
12,1138.0,7.37354309459,0.0173024254526,1.17831875843,0.0176252789331
13,1169.0,5.9881244634,0.00286921218662,-0.525221317075,0.00286973423601
14,1174.0,6.00165964468,0.000470465183667,-0.351890292467,0.000470465277048
15,1190.0,6.297844942,0.0054814525697,0.697094253378,0.00548780072341
16,1194.0,6.78637294634,0.0207250110792,-1.21716644158,0.0213947050071
17,1197.0,5.93433814819,0.00239979675171,0.507609072452,0.00240000486702
18,1.0,6.51324836336,0.000934160254716,0.515167078448,0.000934161143284
19,1204.0,5.23736828014,0.00261643871102,-0.546712205506,0.00261668025786
20,1206.0,10.6909585186,0.00687859767038,0.875292276798,0.00687859770864
21,12073.0,5.11271817581,0.0124210464068,-0.679754818435,0.0129339391396
22,1208.0,6.12005312958,0.00158867229683,0.60428696937,0.00158868023472
23,1217.0,5.07129493318,0.000909414391875,0.224924786601,0.00090945016983
24,1223.0,5.39643930982,0.0181098329067,-0.88361513563,0.0191946462572
25,1230.0,6.22058181227,0.0189223976714,-0.95129041977,0.0199549282559
26,1235.0,5.76383690622,0.00336790801716,0.451395415927,0.00337091169311
27,1237.0,8.06352656706,0.00649786561996,0.673424413303,0.00649786563713
28,1241.0,5.82318640294,0.00656473486803,0.757875466677,0.00657693719775
29,1248.0,5.42489491493,0.00727695933575,0.653849427534,0.00732009818397
30,1251.0,7.7026959791,0.00356460510886,0.758857151131,0.00356490426114
31,1261.0,6.83828453518,0.000850736932202,0.497749582937,0.000850737550038
32,1266.0,4.37792516813,0.00683538619924,0.534003407749,0.00690905261909
33,1270.0,4.90430492007,0.000788405407504,0.297133826349,0.000788409509528
34,1277.0,5.25978624614,0.0121130378418,-0.436867656415,0.0135157905748
35,12840.0,5.95046967168,0.00699998778809,0.886134868475,0.00700828106836
36,1308.0,6.13007306754,0.0188983087645,-0.817185917427,0.0204902564258
37,1313.0,6.63061174826,0.00807223167284,0.689026714621,0.00813208039442
38,1323.0,7.57781882218,0.00147883420668,0.657528238118,0.00147883420552
39,1324.0,7.22602775796,0.00355310645744,0.712191879158,0.00355351216111
40,13362.0,inf,inf,inf,inf
41,1337.0,5.73156642769,0.00323986299636,-0.631877758419,0.00324028868138
