,ID,Norm,Mean,Mean_Error,Sigma,Error,IOU
0,1007.0,13.1756621981,6.69040409989,0.00235902500196,0.6736918109,0.00235932020711,0.978877611569
1,1021.0,20.5331417625,7.0081660342,0.000556790204435,0.491396917819,0.000556790563586,0.993044455916
2,1025.0,21.743325716,6.57878076387,0.00309829687135,0.557250975891,0.00310225733066,0.966816163512
3,1041.0,17.2716232601,6.49666427988,0.00586535734408,0.67459257106,0.00592220334349,0.949709648288
4,10518.0,24.7492047835,7.03466037266,0.00690911280611,0.598893852851,0.00710694682351,0.935425079229
5,1052.0,15.4305129135,6.40813742436,0.000464322456784,0.545939643998,0.000464322473493,0.993893251559
6,1107.0,23.3360912739,6.31255119349,0.0062032209201,0.601139368111,0.00632145770787,0.941410448297
7,1120.0,14.9074127323,6.14185502543,0.00100064259201,0.592595513439,0.00100064640044,0.990062534695
8,1124.0,15.8474019233,4.41482449173,0.0173730311584,0.89600775294,0.019340331117,0.907108123642
9,1128.0,6.99072638543,6.65111570608,0.00458735136022,0.961450578976,0.00459010131216,0.971355958272
10,1136.0,19.5223273353,6.21032479442,0.000497939167285,0.47499821022,0.000497939169544,0.993180074784
11,1137.0,8.61217834834,6.03388496057,0.00615968349188,0.912900232844,0.00617940643455,0.960170903656
12,1138.0,6.08284139863,7.37530625817,0.0121660368399,1.17765493341,0.0123987357344,0.941350384769
13,1169.0,22.1440075592,5.98813493778,0.00201375778145,0.525212942838,0.00201415706271,0.976886137666
14,1174.0,38.9496152141,6.00165947671,0.000330112459078,0.351890500555,0.000330112541654,0.993700095153
15,1190.0,13.8670353488,6.29791823038,0.00384829675437,0.697048643772,0.00385304945773,0.967040020394
16,1194.0,6.11831823475,6.78966615991,0.0145888236205,1.21601970119,0.0150668569948,0.933258769908
17,1197.0,22.9299966585,5.93434305877,0.00168417355923,0.507604902114,0.00168433405309,0.979990689524
18,1.0,18.9718898603,6.51324804742,0.000655477712932,0.51516744197,0.000655478421625,0.992425481589
19,1204.0,19.820680655,5.23737388632,0.0018362212237,0.546707420037,0.0018364073314,0.97974169841
20,1206.0,3.18162206604,10.6909584048,0.00482673286548,0.875292182555,0.00482673283394,0.965343186093
21,12073.0,20.3759250594,5.11507309673,0.00874746193784,0.678980135321,0.00911194255426,0.929111416089
22,1208.0,14.5263054397,6.12005296995,0.00111476835908,0.604287133852,0.00111477466559,0.989090141287
23,1217.0,113.021430712,5.07129586173,0.000638187699774,0.224923943865,0.000638215527454,0.982921787867
24,1223.0,12.9292249058,5.40110960685,0.0127807328042,0.882133852597,0.0135466657752,0.922062608584
25,1230.0,10.9416160587,6.22514416692,0.0133473148555,0.949817710281,0.0140774650576,0.923932573483
26,1235.0,32.5641761305,5.76387455117,0.00236432346867,0.45137082104,0.00236657921272,0.968656899316
27,1237.0,4.18880598184,8.06352685458,0.00455954868546,0.673424564732,0.00455954869815,0.957219556603
28,1241.0,12.0857515884,5.82330869602,0.00460938805289,0.757804815726,0.00461847202132,0.963860290576
29,1248.0,17.677503316,5.42520431813,0.00511159219211,0.65370509111,0.00514322394824,0.954333735119
30,1251.0,10.2453572233,7.70270316488,0.00250163528603,0.75885091229,0.00250186606371,0.980120846231
31,1261.0,20.1643384276,6.83828424438,0.000596940717353,0.497749917696,0.000596941216807,0.992764072799
32,1266.0,27.9550320683,4.37837873845,0.00480307491359,0.533816355479,0.00485662953315,0.948142778955
33,1270.0,60.1665584222,4.90430486416,0.000553223811769,0.297133876598,0.000553227078947,0.988983491015
34,1277.0,67.8509807366,5.2628691695,0.00862246255466,0.437470092889,0.00961642475265,0.906797451446
35,12840.0,8.59333077308,5.95056457872,0.00491442758218,0.886075947092,0.00492063487508,0.966894441989
36,1308.0,16.5065413035,6.13621781237,0.0133791932776,0.815453883731,0.0144997653751,0.914746019298
37,1313.0,16.224001108,6.63101612889,0.00567089094533,0.688846917054,0.00571463519778,0.95217514824
38,1323.0,9.53134252826,7.57781878612,0.00103770311533,0.657528267907,0.00103770311829,0.990514479315
39,1324.0,11.7896950148,7.22603684166,0.00249363019086,0.712184274109,0.00249394212593,0.978879166008
40,13362.0,1.0,1.77888883769e+14,inf,0.422754688861,inf,
41,1337.0,15.0717043719,5.73157546493,0.00227380886562,0.631870365794,0.00227413558883,0.978298900788
